Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,26.75059420971457,92.6,65.84940579028543
2025-02,30.88521077331514,92.6,34.964195016970294
2025-03,49.49849002617062,92.6,-14.534295009200328
2025-04,62.34662237572796,92.6,-76.8809173849283
2025-05,69.65994005932778,92.6,-146.54085744425606
2025-06,58.18593014162195,92.6,-204.72678758587801
2025-07,64.34882867402611,92.6,-269.0756162599041
2025-08,47.427085883826365,92.6,-316.50270214373046
2025-09,32.81369797975539,92.6,-349.31640012348583
2025-10,39.49552097493305,92.6,-388.8119210984189
2025-11,31.38133204952872,92.6,-420.19325314794764
2025-12,18.48753136065845,92.6,-438.6807845086061
