Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,11.464540375591955,153.8,142.33545962440806
2025-02,13.236518902849344,153.8,129.0989407215587
2025-03,21.21363858264456,153.8,107.88530213891414
2025-04,26.71998101816913,153.8,81.165321120745
2025-05,29.854260025426186,153.8,51.31106109531882
2025-06,24.936827203552262,153.8,26.374233891766558
2025-07,27.57806943172548,153.8,-1.2038355399589236
2025-08,20.3258939502113,153.8,-21.529729490170222
2025-09,14.063013419895167,153.8,-35.59274291006539
2025-10,16.92665184639988,153.8,-52.519394756465275
2025-11,13.449142306940878,153.8,-65.96853706340616
2025-12,7.923227725996479,153.8,-73.89176478940264
