Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,8.8633455739374,87.7,78.83665442606261
2025-02,12.425040705194458,87.7,66.41161372086815
2025-03,21.963049918097308,87.7,44.448563802770835
2025-04,26.916066830087885,87.7,17.53249697268295
2025-05,31.950504213488088,87.7,-14.418007240805139
2025-06,31.914231698832776,87.7,-46.33223893963792
2025-07,32.42968603257947,87.7,-78.76192497221739
2025-08,19.72096735340161,87.7,-98.48289232561899
2025-09,12.805561564407284,87.7,-111.28845389002628
2025-10,11.489170366525808,87.7,-122.77762425655209
2025-11,10.544929836168942,87.7,-133.32255409272102
2025-12,7.998189092526172,87.7,-141.32074318524718
