Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,24.34427195166769,3.0,-21.34427195166769
2025-02,34.12690698050076,3.0,-55.471178932168456
2025-03,60.32422583932865,3.0,-115.7954047714971
2025-04,73.92829776463702,3.0,-189.7237025361341
2025-05,87.7560010582469,3.0,-277.479703594381
2025-06,87.6563741223711,3.0,-365.13607771675214
2025-07,89.07213303357653,3.0,-454.2082107503287
2025-08,54.16606950459856,3.0,-508.37428025492727
2025-09,35.17205445925851,3.0,-543.5463347141858
2025-10,31.55642365160491,3.0,-575.1027583657907
2025-11,28.96295055873723,3.0,-604.0657089245279
2025-12,21.96801295459616,3.0,-626.0337218791241
