Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,11.44248972966341,112.4,100.9575102703366
2025-02,16.04060221660512,112.4,84.91690805373148
2025-03,28.354075898709656,112.4,56.56283215502182
2025-04,34.74837077004508,112.4,21.814461384976745
2025-05,41.24777864866619,112.4,-19.433317263689446
2025-06,41.20095119813409,112.4,-60.63426846182354
2025-07,41.866397543513,112.4,-102.50066600533654
2025-08,25.459569924010182,112.4,-127.96023592934672
2025-09,16.531850807461005,112.4,-144.49208673680772
2025-10,14.832403049689926,112.4,-159.32448978649765
2025-11,13.613398049736992,112.4,-172.93788783623464
2025-12,10.325581439163129,112.4,-183.26346927539777
