Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,7.950340665697138,1.4,-6.550340665697139
2025-02,11.145148924568767,1.4,-17.695489590265908
2025-03,19.70065676103565,1.4,-37.39614635130155
2025-04,24.14346804993265,1.4,-61.5396144012342
2025-05,28.65931276390242,1.4,-90.19892716513662
2025-06,28.62677664693557,1.4,-118.82570381207219
2025-07,29.089134513579783,1.4,-147.91483832565197
2025-08,17.689529016861268,1.4,-165.60436734251323
2025-09,11.486472687239326,1.4,-177.09084002975254
2025-10,10.305681711057897,1.4,-187.39652174081044
2025-11,9.45870651144817,1.4,-196.8552282522586
2025-12,7.174303141381186,1.4,-204.0295313936398
