Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,21.56358480374922,13.7,-7.8635848037492195
2025-02,30.228813341582686,13.7,-38.092398145331906
2025-03,53.43378360993755,13.7,-91.52618175526945
2025-04,65.48395127238,13.7,-157.01013302764943
2025-05,77.73220635286982,13.7,-234.74233938051924
2025-06,77.64395915103273,13.7,-312.386298531552
2025-07,78.89800517073104,13.7,-391.284303702283
2025-08,47.97903324310224,13.7,-439.2633369453853
2025-09,31.154580451618344,13.7,-470.41791739700363
2025-10,27.95193953080223,13.7,-498.36985692780587
2025-11,25.654701926600108,13.7,-524.024558854406
2025-12,19.45875034820438,13.7,-543.4833092026104
