Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,144.32599746160813,1847.7,1703.374002538392
2025-02,202.3227435192564,1847.7,1501.0512590191356
2025-03,357.63460425703954,1847.7,1143.4166547620962
2025-04,438.28689297849735,1847.7,705.1297617835988
2025-05,520.2649892803955,1847.7,184.8647725032033
2025-06,519.6743469755911,1847.7,-334.8095744723878
2025-07,528.0677307428508,1847.7,-862.8773052152386
2025-08,321.125726222034,1847.7,-1184.0030314372725
2025-09,208.51894247175224,1847.7,-1392.5219739090248
2025-10,187.0835295005388,1847.7,-1579.6055034095637
2025-11,171.70801973951146,1847.7,-1751.313523149075
2025-12,130.2382502223248,1847.7,-1881.5517733713998
