Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,6.043259044086569,-0.7,-6.743259044086569
2025-02,8.471715221801247,-0.7,-15.214974265887816
2025-03,14.974977444584043,-0.7,-30.18995171047186
2025-04,18.35207292159181,-0.7,-48.54202463206367
2025-05,21.78468298912472,-0.7,-70.32670762118839
2025-06,21.75995144724656,-0.7,-92.08665906843495
2025-07,22.11140158966095,-0.7,-114.1980606580959
2025-08,13.446267362859574,-0.7,-127.64432802095547
2025-09,8.731164219329159,-0.7,-136.37549224028464
2025-10,7.833614536109578,-0.7,-144.2091067763942
2025-11,7.189806836492006,-0.7,-151.39891361288622
2025-12,5.453372901520665,-0.7,-156.85228651440687
