Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,8.132531029348398,-2.1,-10.232531029348397
2025-02,5.881152802295563,-2.1,-16.11368383164396
2025-03,6.9368250100664,-2.1,-23.05050884171036
2025-04,6.427099763489446,-2.1,-29.477608605199805
2025-05,7.029873340002166,-2.1,-36.507481945201974
2025-06,5.951778400209138,-2.1,-42.45926034541111
2025-07,8.597406403755372,-2.1,-51.05666674916648
2025-08,15.331666213317323,-2.1,-66.3883329624838
2025-09,17.419856302829544,-2.1,-83.80818926531335
2025-10,20.913124848795736,-2.1,-104.72131411410908
2025-11,17.415231558473195,-2.1,-122.13654567258227
2025-12,10.470318201556616,-2.1,-132.6068638741389
