Month,Total_Projection,Stock_Cones,Stock,Stock_Total,Stock_Flow
2025-01,0.8152562044865392,0.0,188.5,188.5,187.68474379551347
2025-02,0.9412635664248424,0.0,188.5,188.5,186.74348022908862
2025-03,1.5085254103213903,0.0,188.5,188.5,185.23495481876722
2025-04,1.9000875390698044,0.0,188.5,188.5,183.33486727969742
2025-05,2.1229696018080846,0.0,188.5,188.5,181.21189767788934
2025-06,1.7732854900303834,0.0,188.5,188.5,179.43861218785895
2025-07,1.9611071595893672,0.0,188.5,188.5,177.47750502826958
2025-08,1.4453969031261371,0.0,188.5,188.5,176.03210812514345
2025-09,1.000036509859212,0.0,188.5,188.5,175.03207161528425
2025-10,1.203673020188436,0.0,188.5,188.5,173.82839859509582
2025-11,0.9563834529380182,0.0,188.5,188.5,172.8720151421578
2025-12,0.5634295271819719,0.0,188.5,188.5,172.30858561497584
