Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,12.987927150652734,197.1,184.11207284934727
2025-02,29.41019609308988,197.1,154.70187675625738
2025-03,30.49660380498564,197.1,124.20527295127174
2025-04,53.27249426722522,197.1,70.93277868404653
2025-05,65.65244958674603,197.1,5.280329097300495
2025-06,70.35133992857358,197.1,-65.07101083127309
2025-07,58.28743328680139,197.1,-123.35844411807447
2025-08,44.03043398439119,197.1,-167.38887810246567
2025-09,20.702559878415443,197.1,-188.0914379808811
2025-10,21.864639127324363,197.1,-209.95607710820545
2025-11,18.76851586767573,197.1,-228.7245929758812
2025-12,15.941376714996396,197.1,-244.6659696908776
