Month,Total_Projection,Stock_Cones,Stock,Stock_Total,Stock_Flow
2025-01,13.00937284189649,0.0,83.5,83.5,70.4906271581035
2025-02,18.237130185346967,0.0,83.5,83.5,52.25349697275654
2025-03,32.236755607260285,0.0,83.5,83.5,20.01674136549625
2025-04,39.50665647739861,0.0,83.5,83.5,-19.489915111902356
2025-05,46.89606405758168,0.0,83.5,83.5,-66.38597916948405
2025-06,46.84282426645228,0.0,83.5,83.5,-113.22880343593633
2025-07,47.59939384333983,0.0,83.5,83.5,-160.82819727927617
2025-08,28.94588899452092,0.0,83.5,83.5,-189.77408627379708
2025-09,18.79564815018577,0.0,83.5,83.5,-208.56973442398285
2025-10,16.863485655090454,0.0,83.5,83.5,-225.4332200790733
2025-11,15.477555589589734,0.0,83.5,83.5,-240.91077566866304
2025-12,11.739520150339748,0.0,83.5,83.5,-252.6502958190028
