Month,Total_Projection,Stock_Cones,Stock,Stock_Total,Stock_Flow
2025-01,20.37251118071711,0.0,47.9,47.9,27.527488819282887
2025-02,28.55911219706519,0.0,47.9,47.9,-1.031623377782303
2025-03,50.48234622993678,0.0,47.9,47.9,-51.51396960771908
2025-04,61.866917842999065,0.0,47.9,47.9,-113.38088745071815
2025-05,73.43863543274644,0.0,47.9,47.9,-186.81952288346457
2025-06,73.35526260200169,0.0,47.9,47.9,-260.17478548546626
2025-07,74.5400408654468,0.0,47.9,47.9,-334.7148263509131
2025-08,45.32889128041226,0.0,47.9,47.9,-380.04371763132536
2025-09,29.433744173686364,0.0,47.9,47.9,-409.4774618050117
2025-10,26.40800246325405,0.0,47.9,47.9,-435.88546426826576
2025-11,24.237653738665628,0.0,47.9,47.9,-460.1231180069314
2025-12,18.383938136420216,0.0,47.9,47.9,-478.50705614335163
