Month,Total_Projection,Stock_Cones,Stock,Stock_Total,Stock_Flow
2025-01,11.550080349555628,0.0,-0.1,-0.1,-11.650080349555628
2025-02,16.191427638056446,0.0,-0.1,-0.1,-27.841507987612076
2025-03,28.620681565350942,0.0,-0.1,-0.1,-56.46218955296302
2025-04,35.07510025285175,0.0,-0.1,-0.1,-91.53728980581477
2025-05,41.63562029666716,0.0,-0.1,-0.1,-133.17291010248192
2025-06,41.58835254034936,0.0,-0.1,-0.1,-174.7612626428313
2025-07,42.26005589678931,0.0,-0.1,-0.1,-217.0213185396206
2025-08,25.698959337942743,0.0,-0.1,-0.1,-242.72027787756335
2025-09,16.68729530584926,0.0,-0.1,-0.1,-259.40757318341264
2025-10,14.971868102865397,0.0,-0.1,-0.1,-274.37944128627805
2025-11,13.741401130326496,0.0,-0.1,-0.1,-288.12084241660455
2025-12,10.422670074069838,0.0,-0.1,-0.1,-298.5435124906744
