Month,Total_Projection,Stock_Cones,Stock,Stock_Total,Stock_Flow
2025-01,15.77793710306654,0.0,89.2,89.2,73.42206289693347
2025-02,22.11822941058039,0.0,89.2,89.2,51.30383348635308
2025-03,39.09715776153688,0.0,89.2,89.2,12.2066757248162
2025-04,47.91418838004361,0.0,89.2,89.2,-35.70751265522741
2025-05,56.87615829557839,0.0,89.2,89.2,-92.58367095080581
2025-06,56.811588382329774,0.0,89.2,89.2,-149.39525933313558
2025-07,57.72916583539364,0.0,89.2,89.2,-207.12442516852923
2025-08,35.10595180092624,0.0,89.2,89.2,-242.23037696945548
2025-09,22.795607284768103,0.0,89.2,89.2,-265.0259842542236
2025-10,20.452255403704346,0.0,89.2,89.2,-285.47823965792793
2025-11,18.77138133940691,0.0,89.2,89.2,-304.24962099733483
2025-12,14.237843192234998,0.0,89.2,89.2,-318.48746418956983
