Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,0.5152037522860401,148.4,147.88479624771398
2025-02,1.1666406199288415,148.4,146.71815562778514
2025-03,1.2097361287955557,148.4,145.50841949898958
2025-04,2.113207798423141,148.4,143.39521170056645
2025-05,2.604294586928117,148.4,140.79091711363833
2025-06,2.7906896835135275,148.4,138.0002274301248
2025-07,2.312139881303007,148.4,135.68808754882178
2025-08,1.7465947060228977,148.4,133.94149284279888
2025-09,0.821227006247107,148.4,133.12026583655177
2025-10,0.8673242458255974,148.4,132.25294159072618
2025-11,0.7445075482565096,148.4,131.50843404246967
2025-12,0.632360884450964,148.4,130.8760731580187
