Month,Total_Projection,Stock_Cones,Stock,Stock_Total,Stock_Flow
2025-01,23.222904927438982,0.0,73.2,73.2,49.97709507256102
2025-02,32.55492371467004,0.0,73.2,73.2,17.42217135789098
2025-03,57.54551889123632,0.0,73.2,73.2,-40.12334753334534
2025-04,70.52294822552518,0.0,73.2,73.2,-110.64629575887052
2025-05,83.71370782556076,0.0,73.2,73.2,-194.3600035844313
2025-06,83.61866999224009,0.0,73.2,73.2,-277.9786735766714
2025-07,84.96921498534454,0.0,73.2,73.2,-362.9478885620159
2025-08,51.67102490868178,0.0,73.2,73.2,-414.6189134706977
2025-09,33.55192870140907,0.0,73.2,73.2,-448.17084217210675
2025-10,30.10284422414224,0.0,73.2,73.2,-478.273686396249
2025-11,27.62883394414242,0.0,73.2,73.2,-505.9025203403914
2025-12,20.956103238667048,0.0,73.2,73.2,-526.8586235790584
