Month,Total_Projection,Stock_Cones,Stock,Stock_Total,Stock_Flow
2025-01,5.076458825900203,0.0,226.6,226.6,221.5235411740998
2025-02,7.116410730449895,0.0,226.6,226.6,214.4071304436499
2025-03,12.579281454201745,0.0,226.6,226.6,201.82784898944814
2025-04,15.41610940003324,0.0,226.6,226.6,186.4117395894149
2025-05,18.29957071553857,0.0,226.6,226.6,168.11216887387633
2025-06,18.27879572424172,0.0,226.6,226.6,149.8333731496346
2025-07,18.57402089402312,0.0,226.6,226.6,131.25935225561147
2025-08,11.295134319352952,0.0,226.6,226.6,119.96421793625852
2025-09,7.334353092967072,0.0,226.6,226.6,112.62986484329144
2025-10,6.580393354053934,0.0,226.6,226.6,106.0494714892375
2025-11,6.039581971476483,0.0,226.6,226.6,100.00988951776102
2025-12,4.580942632922325,0.0,226.6,226.6,95.4289468848387
