Month,Total_Projection,Stock_Cones,Stock,Stock_Total,Stock_Flow
2025-01,11.39551354351329,0.0,550.6,550.6,539.2044864564867
2025-02,15.97474886357708,0.0,550.6,550.6,523.2297375929096
2025-03,28.23767060764093,0.0,550.6,550.6,494.99206698526865
2025-04,34.60571423529851,0.0,550.6,550.6,460.3863527499701
2025-05,41.07843933756718,0.0,550.6,550.6,419.3079134124029
2025-06,41.0318041332232,0.0,550.6,550.6,378.2761092791797
2025-07,41.69451854419518,0.0,550.6,550.6,336.5815907349845
2025-08,25.3550477855326,0.0,550.6,550.6,311.2265429494519
2025-09,16.463980674361906,0.0,550.6,550.6,294.76256227509003
2025-10,14.771509857458383,0.0,550.6,550.6,279.99105241763164
2025-11,13.557509380747211,0.0,550.6,550.6,266.43354303688443
2025-12,10.283190626739067,0.0,550.6,550.6,256.1503524101454
