Month,Total_Projection,Stock_Cones,Stock,Stock_Total,Stock_Flow
2025-01,4.60669696439899,0.0,121.95,121.95,117.34330303560101
2025-02,6.457877200169458,0.0,121.95,121.95,110.88542583543155
2025-03,11.415228543514417,0.0,121.95,121.95,99.47019729191713
2025-04,13.989544052567478,0.0,121.95,121.95,85.48065323934965
2025-05,16.606177604548435,0.0,121.95,121.95,68.87447563480121
2025-06,16.58732507513278,0.0,121.95,121.95,52.28715055966843
2025-07,16.85523090084486,0.0,121.95,121.95,35.431919658823574
2025-08,10.249912934577006,0.0,121.95,121.95,25.18200672424657
2025-09,6.65565176197609,0.0,121.95,121.95,18.52635496227048
2025-10,5.971461431738494,0.0,121.95,121.95,12.554893530531988
2025-11,5.48069528157866,0.0,121.95,121.95,7.074198248953328
2025-12,4.157034508681751,0.0,121.95,121.95,2.917163740271577
