Month,Total_Projection,Stock_Cones,Stock,Stock_Total,Stock_Flow
2025-01,4.45516088004376,0.0,4.07,4.07,-0.3851608800437596
2025-02,6.245447029111252,0.0,4.07,4.07,-6.630607909155011
2025-03,11.03972760458302,0.0,4.07,4.07,-17.67033551373803
2025-04,13.529361682417234,0.0,4.07,4.07,-31.199697196155263
2025-05,16.059921762293552,0.0,4.07,4.07,-47.25961895844881
2025-06,16.041689381871837,0.0,4.07,4.07,-63.301308340320645
2025-07,16.300782515948647,0.0,4.07,4.07,-79.60209085626929
2025-08,9.912744745939603,0.0,4.07,4.07,-89.51483560220889
2025-09,6.436715848753192,0.0,4.07,4.07,-95.95155145096209
2025-10,5.775031779378676,0.0,4.07,4.07,-101.72658323034076
2025-11,5.300409252579362,0.0,4.07,4.07,-107.02699248292012
2025-12,4.020289952475114,0.0,4.07,4.07,-111.04728243539523
