Month,Total_Projection,Stock_Cones,Stock,Stock_Total,Stock_Flow
2025-01,16.66896927907529,0.0,233.9,233.9,217.2310307209247
2025-02,23.36731881640264,0.0,233.9,233.9,193.86371190452206
2025-03,41.30510328245348,0.0,233.9,233.9,152.5586086220686
2025-04,50.62006071652706,0.0,233.9,233.9,101.93854790554153
2025-05,60.0881426480371,0.0,233.9,233.9,41.85040525750443
2025-06,60.01992625870415,0.0,233.9,233.9,-18.169521001199726
2025-07,60.98932233858336,0.0,233.9,233.9,-79.15884333978309
2025-08,37.08850075011417,0.0,233.9,233.9,-116.24734408989727
2025-09,24.08295045451875,0.0,233.9,233.9,-140.330294544416
2025-10,21.60726175958008,0.0,233.9,233.9,-161.93755630399608
2025-11,19.831463189922783,0.0,233.9,233.9,-181.76901949391885
2025-12,15.041901182730022,0.0,233.9,233.9,-196.81092067664886
