Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,14.881001403238647,115.9,101.01899859676136
2025-02,33.69692209189817,115.9,67.32207650486319
2025-03,34.94168074335071,115.9,32.38039576151248
2025-04,61.037304317245145,115.9,-28.656908555732663
2025-05,75.22171806894703,115.9,-103.8786266246797
2025-06,80.60550202148376,115.9,-184.48412864616347
2025-07,66.78320308321709,115.9,-251.26733172938054
2025-08,50.44815406698695,115.9,-301.7154857963675
2025-09,23.72009166881179,115.9,-325.4355774651793
2025-10,25.05155147245097,115.9,-350.48712893763025
2025-11,21.50414825429268,115.9,-371.9912771919229
2025-12,18.26493531367668,115.9,-390.2562125055996
