Month,Total_Projection,Stock_Cones,Stock,Stock_Total,Stock_Flow
2025-01,18.45709507446701,0.0,127.5,127.5,109.042904925533
2025-02,25.873994834889466,0.0,127.5,127.5,83.16891009064352
2025-03,45.73601436184394,0.0,127.5,127.5,37.43289572879958
2025-04,56.05021268429996,0.0,127.5,127.5,-18.617316955500378
2025-05,66.53396158664472,0.0,127.5,127.5,-85.15127854214509
2025-06,66.45842743918332,0.0,127.5,127.5,-151.60970598132843
2025-07,67.53181328035868,0.0,127.5,127.5,-219.1415192616871
2025-08,41.06708537603551,0.0,127.5,127.5,-260.2086046377226
2025-09,26.66639423054894,0.0,127.5,127.5,-286.8749988682715
2025-10,23.92513165742594,0.0,127.5,127.5,-310.80013052569745
2025-11,21.9588383321145,0.0,127.5,127.5,-332.75896885781196
2025-12,16.65548694596833,0.0,127.5,127.5,-349.4144558037803
