Month,Total_Projection,Stock_Cones,Stock,Stock_Total,Stock_Flow
2025-01,97.55135430367928,826.5,267.8,1094.3,996.7486456963206
2025-02,136.75192261872002,826.5,267.8,1094.3,859.9967230776006
2025-03,241.7287294370857,826.5,267.8,1094.3,618.2679936405149
2025-04,296.2424007842209,826.5,267.8,1094.3,322.025592856294
2025-05,351.6521984515808,826.5,267.8,1094.3,-29.626605595286776
2025-06,351.25297753673453,826.5,267.8,1094.3,-380.8795831320213
2025-07,356.9261477769368,826.5,267.8,1094.3,-737.8057309089581
2025-08,217.05202143532725,826.5,267.8,1094.3,-954.8577523442854
2025-09,140.93999413724038,826.5,267.8,1094.3,-1095.7977464815258
2025-10,126.45158870663344,826.5,267.8,1094.3,-1222.2493351881592
2025-11,116.05913116829812,826.5,267.8,1094.3,-1338.3084663564573
2025-12,88.02930805802228,826.5,267.8,1094.3,-1426.3377744144796
