Month,Total_Projection,Stock_Cones,Stock,Stock_Total,Stock_Flow
2025-01,28.246326123814853,815.2,124.01,939.21,910.9636738761852
2025-02,39.59698388524956,815.2,124.01,939.21,871.3666899909357
2025-03,69.99337501681207,815.2,124.01,939.21,801.3733149741237
2025-04,85.77799379600583,815.2,124.01,939.21,715.5953211781178
2025-05,101.82208899631011,815.2,124.01,939.21,613.7732321818078
2025-06,101.70649322384048,815.2,124.01,939.21,512.0667389579673
2025-07,103.349178944654,815.2,124.01,939.21,408.71756001331335
2025-08,62.84815036201164,815.2,124.01,939.21,345.8694096513017
2025-09,40.80965422474812,815.2,124.01,939.21,305.0597554265536
2025-10,36.61448719987024,815.2,124.01,939.21,268.4452682266833
2025-11,33.60531580546915,815.2,124.01,939.21,234.83995242121415
2025-12,25.48918527691705,815.2,124.01,939.21,209.3507671442971
