Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,4.85010416105556,-0.7,-5.55010416105556
2025-02,10.982700533655702,-0.7,-16.532804694711263
2025-03,11.388399649684674,-0.7,-27.92120434439594
2025-04,19.89363992562064,-0.7,-47.81484427001658
2025-05,24.51670811136051,-0.7,-72.3315523813771
2025-06,26.271422881076187,-0.7,-98.60297526245328
2025-07,21.76637730119668,-0.7,-120.36935256364997
2025-08,16.44236132553649,-0.7,-136.81171388918645
2025-09,7.7309928402053245,-0.7,-144.54270672939177
2025-10,8.164950109539577,-0.7,-152.70765683893134
2025-11,7.008759431028723,-0.7,-159.71641626996006
2025-12,5.953015954087214,-0.7,-165.66943222404728
