Month,Total_Projection,Stock_Cones,Stock,Stock_Total,Stock_Flow
2025-01,6.1947951284418,0.0,4.7,4.7,-1.4947951284418002
2025-02,8.684145392859454,0.0,4.7,4.7,-10.178940521301254
2025-03,15.35047838351544,0.0,4.7,4.7,-25.529418904816694
2025-04,18.81225529174205,0.0,4.7,4.7,-44.34167419655874
2025-05,22.33093883137961,0.0,4.7,4.7,-66.67261302793835
2025-06,22.305587140507505,0.0,4.7,4.7,-88.97820016844585
2025-07,22.665849974557165,0.0,4.7,4.7,-111.64405014300301
2025-08,13.783435551496977,0.0,4.7,4.7,-125.42748569449999
2025-09,8.950100132552057,0.0,4.7,4.7,-134.37758582705206
2025-10,8.030044188469398,0.0,4.7,4.7,-142.40763001552145
2025-11,7.370092865491305,0.0,4.7,4.7,-149.77772288101275
2025-12,5.590117457727303,0.0,4.7,4.7,-155.36784033874005
