Month,Total_Projection,Stock_Cones,Stock,Stock_Total,Stock_Flow
2025-01,4.95522995841602,0.0,51.5,51.5,46.54477004158398
2025-02,6.946466593603331,0.0,51.5,51.5,39.59830344798065
2025-03,12.278880703056627,0.0,51.5,51.5,27.31942274492402
2025-04,15.047963503913046,0.0,51.5,51.5,12.271459241010973
2025-05,17.862566041734667,0.0,51.5,51.5,-5.5911068007236935
2025-06,17.84228716963296,0.0,51.5,51.5,-23.433393970356654
2025-07,18.130462186106147,0.0,51.5,51.5,-41.563856156462805
2025-08,11.025399768443032,0.0,51.5,51.5,-52.589255924905835
2025-09,7.1592043623887545,0.0,51.5,51.5,-59.74846028729459
2025-10,6.423249632166079,0.0,51.5,51.5,-66.17170991946067
2025-11,5.895353148277047,0.0,51.5,51.5,-72.06706306773772
2025-12,4.471546987957016,0.0,51.5,51.5,-76.53861005569473
