Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,11.340473291598537,11.5,0.15952670840146332
2025-02,25.679659227038343,11.5,-25.520132518636878
2025-03,26.62826153267428,11.5,-52.14839405131116
2025-04,46.51514374901169,11.5,-98.66353780032284
2025-05,57.32476340761544,11.5,-155.9883012079383
2025-06,61.42762291733847,11.5,-217.41592412527677
2025-07,50.89396273612317,11.5,-268.30988686139995
2025-08,38.44539277327146,11.5,-306.7552796346714
2025-09,18.07654328867179,11.5,-324.8318229233432
2025-10,19.09121857381228,11.5,-343.9230414971555
2025-11,16.387823126157823,11.5,-360.3108646233133
2025-12,13.919292491461334,11.5,-374.23015711477467
