Month,Total_Projection,Stock_Cones,Stock,Stock_Total,Stock_Flow
2025-01,14.271668424575555,243.198,90.8,333.998,319.7263315754244
2025-02,20.006673510261827,243.198,90.8,333.998,299.7196580651626
2025-03,35.364678428558804,243.198,90.8,333.998,264.3549796366038
2025-04,43.33997562075017,243.198,90.8,333.998,221.0150040158536
2025-05,51.44637522356486,243.198,90.8,333.998,169.56862879228873
2025-06,51.38796959131597,243.198,90.8,333.998,118.18065920097277
2025-07,52.21794888952529,243.198,90.8,333.998,65.96271031144748
2025-08,31.75450000587048,243.198,90.8,333.998,34.208210305577
2025-09,20.619384307332503,243.198,90.8,333.998,13.588825998244495
2025-10,18.499744659247742,243.198,90.8,333.998,-4.910918661003247
2025-11,16.979338211153888,243.198,90.8,333.998,-21.890256872157135
2025-12,12.878602303541031,243.198,90.8,333.998,-34.76885917569817
