Month,Total_Projection,Stock_Cones,Stock,Stock_Total,Stock_Flow
2025-01,7.016120705647145,0.0,483.8,483.8,476.78387929435286
2025-02,9.835516919994928,0.0,483.8,483.8,466.94836237435794
2025-03,17.3856934725236,0.0,483.8,483.8,449.56266890183434
2025-04,21.306443737956386,0.0,483.8,483.8,428.25622516387796
2025-05,25.291645496401067,0.0,483.8,483.8,402.96457966747687
2025-06,25.26293259798184,0.0,483.8,483.8,377.70164706949504
2025-07,25.670960220694635,0.0,483.8,483.8,352.0306868488004
2025-08,15.610887133911689,0.0,483.8,483.8,336.41979971488877
2025-09,10.136732782220164,0.0,483.8,483.8,326.2830669326686
2025-10,9.094692904259617,0.0,483.8,483.8,317.188374028409
2025-11,8.347243142667498,0.0,483.8,483.8,308.8411308857415
2025-12,6.331272952367272,0.0,483.8,483.8,302.50985793337424
