Ovillo_Code,Cono_Stock,Ovillo_Stock,Stock_total
1100AN1010003,248.01,238.7,486.71
1100AN1010022,499.57,326.3,825.87
1100AN1010026,0.0,0.0,0.0
1100AN1010033,0.0,360.8,360.8
1100AN1010034,0.0,0.0,0.0
1100AN1010073,0.0,0.0,0.0
1100AN1010134,499.9699999999999,310.6,810.5699999999999
1100AN1010219,0.0,1.8,1.8
1100AN1010425,247.144,169.2,416.344
1100AN1010539,0.0,0.0,0.0
1100AN1010712,0.0,0.0,0.0
1100AN1010718,1001.274,328.2,1329.474
1100AN1010728,247.094,275.1,522.194
1100AN1010732,0.0,354.7,354.7
1100AN1010735,498.338,435.1,933.4380000000001
1100AN1010740,1002.94,335.4,1338.3400000000001
1100AN1010769,752.88,692.6,1445.48
1100AN1010772,0.0,287.3,287.3
1100AN1010807,246.31,552.0,798.31
1100AN1010811,1258.6,498.4,1757.0
1100AN1010829,495.422,266.20000000000005,761.6220000000001
1100AN1010831,495.456,116.2,611.6560000000001
1100AN1010845,0.0,0.0,0.0
1100AN1010875,0.0,392.1,392.1
1100AN1010880,252.56,247.5,500.06
1100AN1010882,493.39,465.6,958.99
1100AN1010888,499.104,301.7,800.804
1100AN1010900,0.0,390.2,390.2
1100AN1011102,3003.856,896.0,3899.856
1100AN1011302,1362.349,179.89999999999998,1542.2489999999998
1100AN1011777,0.0,236.0,236.0
1100AN1011788,0.0,288.1,288.1
1100AN1011799,0.0,178.5,178.5
1100AN1012302,0.0,575.3,575.3
1100AN1012903,251.46,73.5,324.96000000000004
1100AN1013102,754.03,196.0,950.03
1100AN1013202,250.294,251.70000000000005,501.994
1100AN1013602,0.0,539.1,539.1
1100AN1013902,0.0,336.8,336.8
1100AN1013602,1263.034,539.1,1802.134
1100AN1013916,252.01,262.9,514.91
1100AN1013917,503.22,396.3,899.52
1100AN1014015,0.0,0.0,0.0
1100AN1014204,0.0,0.0,0.0
1100AN1014850,500.22,445.9,946.12
1100AN1015002,0.0,0.0,0.0
1100AN1015029,499.87,564.6,1064.47
1100AN1015032,251.31,251.90000000000003,503.21000000000004
1100AN1015033,252.71,290.4,543.11
1100AN1015102,249.71,601.8000000000001,851.5100000000001
1100AN1015204,248.594,289.6000000000001,538.1940000000001
1100AN1015302,251.31,406.2,657.51
1100AN1015502,251.31,286.4,537.71
1100AN1016202,0.0,725.8,725.8
1100AN1016402,500.07,395.2,895.27
1100AN1016702,0.0,470.6,470.6
1100AN1016890,251.244,263.5,514.744
1100AN1016902,252.96,334.4,587.36
1100AN1017000,0.0,0.0,0.0
1100AN1017007,0.0,349.8,349.8
1100AN1017402,251.26,307.8,559.06
1100AN1017802,249.41,420.2,669.61
1100AN1017902,0.0,234.4,234.4
1100AN1018003,0.0,363.2,363.2
1100AN1018902,3777.52,1044.4,4821.92
1100AN1019102,0.0,0.0,0.0
1100AN1019202,0.0,0.0,0.0
1100AN1019300,0.0,0.0,0.0
1100AN1019502,0.0,0.0,0.0
1100AN1019602,0.0,0.0,0.0
1101PA1050041,0.0,0.0,0.0
1101PA1050073,0.0,0.0,0.0
