Month,Total_Projection,Stock_Cones,Stock,Stock_Total,Stock_Flow
2025-01,10.949522199152812,0.0,193.6,193.6,182.65047780084717
2025-02,7.9182991042955315,0.0,193.6,193.6,174.73217869655164
2025-03,9.33964090210747,0.0,193.6,193.6,165.39253779444417
2025-04,8.653354199637898,0.0,193.6,193.6,156.73918359480626
2025-05,9.464919828255928,0.0,193.6,193.6,147.27426376655035
2025-06,8.013388388233388,0.0,193.6,193.6,139.26087537831697
2025-07,11.575423682164608,0.0,193.6,193.6,127.68545169615236
2025-08,20.642333726966392,0.0,193.6,193.6,107.04311796918597
2025-09,23.45384267278556,0.0,193.6,193.6,83.58927529640042
2025-10,28.157128937987025,0.0,193.6,193.6,55.43214635841339
2025-11,23.447615983847943,0.0,193.6,193.6,31.98453037456545
2025-12,14.097085048481349,0.0,193.6,193.6,17.887445326084098
