Month,Total_Projection,Stock_Cones,Stock,Stock_Total,Stock_Flow
2025-01,30.283879854166937,0.0,366.3,366.3,336.0161201458331
2025-02,21.900208462283143,0.0,366.3,366.3,314.11591168354994
2025-03,25.83131554200328,0.0,366.3,366.3,288.2845961415467
2025-04,23.93320312530723,0.0,366.3,366.3,264.35139301623946
2025-05,26.1778084645924,0.0,366.3,366.3,238.17358455164705
2025-06,22.163203723429387,0.0,366.3,366.3,216.01038082821768
2025-07,32.01498053302037,0.0,366.3,366.3,183.9954002951973
2025-08,57.09198475760302,0.0,366.3,366.3,126.90341553759427
2025-09,64.86797694936195,0.0,366.3,366.3,62.035438588232324
2025-10,77.8761935258017,0.0,366.3,366.3,-15.840754937569372
2025-11,64.85075534861568,0.0,366.3,366.3,-80.69151028618505
2025-12,38.989320459591696,0.0,366.3,366.3,-119.68083074577675
