Month,Total_Projection,Stock_Cones,Stock,Stock_Total,Stock_Flow
2025-01,23.48145856847402,0.0,44.0,44.0,20.51854143152598
2025-02,16.980943000844963,0.0,44.0,44.0,3.5375984306810153
2025-03,20.029037514004976,0.0,44.0,44.0,-16.49143908332396
2025-04,18.55728263036441,0.0,44.0,44.0,-35.048721713688366
2025-05,20.2977005533918,0.0,44.0,44.0,-55.346422267080165
2025-06,17.184863778435183,0.0,44.0,44.0,-72.53128604551534
2025-07,24.823716200722583,0.0,44.0,44.0,-97.35500224623793
2025-08,44.26787720507827,0.0,44.0,44.0,-141.6228794513162
2025-09,50.297211602085554,0.0,44.0,44.0,-191.92009105340176
2025-10,60.38349843390239,0.0,44.0,44.0,-252.30358948730415
2025-11,50.28385834925424,0.0,44.0,44.0,-302.5874478365584
2025-12,30.23146695184389,0.0,44.0,44.0,-332.8189147884023
