Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,21.05327693940347,40.6,19.54672306059653
2025-02,15.502059681490548,40.6,4.044663379105982
2025-03,17.934854159624276,40.6,-13.890190780518294
2025-04,15.904476264194502,40.6,-29.794667044712796
2025-05,16.596571242119218,40.6,-46.391238286832014
2025-06,13.168131575935766,40.6,-59.55936986276778
2025-07,20.23010332468771,40.6,-79.78947318745549
2025-08,34.65669455739262,40.6,-114.44616774484811
2025-09,40.2434562433164,40.6,-154.6896239881645
2025-10,48.99498811837108,40.6,-203.68461210653558
2025-11,38.32630827988432,40.6,-242.0109203864199
2025-12,27.261414841058915,40.6,-269.27233522747883
