Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,20.990677656707582,282.8,261.8093223432924
2025-02,15.455966248189725,282.8,246.3533560951027
2025-03,17.881527116576333,282.8,228.47182897852636
2025-04,15.857186295575463,282.8,212.6146426829509
2025-05,16.547223415747194,282.8,196.0674192672037
2025-06,13.128977785603208,282.8,182.93844148160048
2025-07,20.16995164565769,282.8,162.76848983594277
2025-08,34.55364721582448,282.8,128.2148426201183
2025-09,40.12379736544737,282.8,88.09104525467093
2025-10,48.84930765633512,282.8,39.24173759833581
2025-11,38.21234980142,282.8,1.0293877969158132
2025-12,27.18035643769315,282.8,-26.150968640777336
