Month,Total_Projection,Stock_Cones,Stock,Stock_Total,Stock_Flow
2025-01,16.061748782963086,275.9,188.4,464.29999999999995,448.23825121703686
2025-02,11.615276784533735,275.9,188.4,464.29999999999995,436.6229744325031
2025-03,13.70022939488114,275.9,188.4,464.29999999999995,422.92274503762195
2025-04,12.693522032891655,275.9,188.4,464.29999999999995,410.2292230047303
2025-05,13.88399984650428,275.9,188.4,464.29999999999995,396.345223158226
2025-06,11.754762340413048,275.9,188.4,464.29999999999995,384.590460817813
2025-07,16.97987764741686,275.9,188.4,464.29999999999995,367.6105831703961
2025-08,30.28004077130171,275.9,188.4,464.29999999999995,337.33054239909444
2025-09,34.40421619808836,275.9,188.4,464.29999999999995,302.9263262010061
2025-10,41.303421576371576,275.9,188.4,464.29999999999995,261.6229046246345
2025-11,34.39508232798456,275.9,188.4,464.29999999999995,227.22782229664992
2025-12,20.678878448074315,275.9,188.4,464.29999999999995,206.54894384857562
