Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,25.258810567790867,6.6,-18.658810567790866
2025-02,18.598700336882228,6.6,-37.2575109046731
2025-03,21.51746186984521,6.6,-58.774972774518304
2025-04,19.081502337782755,6.6,-77.85647511230106
2025-05,19.911847941112622,6.6,-97.76832305341368
2025-06,15.79855439918662,6.6,-113.5668774526003
2025-07,24.27120248861371,6.6,-137.838079941214
2025-08,41.57960232274284,6.6,-179.41768226395686
2025-09,48.28235722015403,6.6,-227.7000394841109
2025-10,58.78206643151509,6.6,-286.482105915626
2025-11,45.98224606035047,6.6,-332.46435197597646
2025-12,32.70706575808623,6.6,-365.1714177340627
