Month,Total_Projection,Stock_Cones,Stock,Stock_Total,Stock_Flow
2025-01,19.057557653111605,0.0,698.0,698.0,678.9424423468884
2025-02,13.781737590921528,0.0,698.0,698.0,665.1607047559668
2025-03,16.25557186093873,0.0,698.0,698.0,648.905132895028
2025-04,15.061095228899964,0.0,698.0,698.0,633.8440376661281
2025-05,16.47361885096893,0.0,698.0,698.0,617.3704188151592
2025-06,13.9472397450684,0.0,698.0,698.0,603.4231790700908
2025-07,20.146934283499025,0.0,698.0,698.0,583.2762447865917
2025-08,35.927820222773725,0.0,698.0,698.0,547.3484245638181
2025-09,40.82122952891983,0.0,698.0,698.0,506.5271950348982
2025-10,49.00726244687674,0.0,698.0,698.0,457.5199325880215
2025-11,40.81039202557874,0.0,698.0,698.0,416.7095405624428
2025-12,24.53586614702122,0.0,698.0,698.0,392.17367441542154
