Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,9.048441771496558,-0.1,-9.148441771496557
2025-02,6.662596268028104,-0.1,-15.81103803952466
2025-03,7.708181676930017,-0.1,-23.51921971645468
2025-04,6.835550009479459,-0.1,-30.354769725934137
2025-05,7.1330039937747145,-0.1,-37.487773719708855
2025-06,5.659502420796827,-0.1,-43.14727614050568
2025-07,8.694651787066755,-0.1,-51.841927927572435
2025-08,14.895024826666916,-0.1,-66.73695275423935
2025-09,17.296146891978125,-0.1,-84.03309964621748
2025-10,21.05744860338154,-0.1,-105.09054824959902
2025-11,16.472180068932577,-0.1,-121.5627283185316
2025-12,11.716623759233322,-0.1,-133.2793520777649
