Month,Total_Projection,Stock_Cones,Stock,Stock_Total,Stock_Flow
2025-01,7.750400053270582,0.0,-0.1,-0.1,-7.850400053270581
2025-02,5.60480947785035,0.0,-0.1,-0.1,-13.455209531120932
2025-03,6.61087781079822,0.0,-0.1,-0.1,-20.06608734191915
2025-04,6.125103509542352,0.0,-0.1,-0.1,-26.191190851461503
2025-05,6.699553990291221,0.0,-0.1,-0.1,-32.89074484175272
2025-06,5.6721165235728055,0.0,-0.1,-0.1,-38.562861365325524
2025-07,8.193431885988552,0.0,-0.1,-0.1,-46.75629325131408
2025-08,14.61126262016145,0.0,-0.1,-0.1,-61.367555871475524
2025-09,16.601332934383336,0.0,-0.1,-0.1,-77.96888880585885
2025-10,19.93045994626196,0.0,-0.1,-0.1,-97.89934875212082
2025-11,16.596925497291924,0.0,-0.1,-0.1,-114.49627424941274
2025-12,9.97833939449552,0.0,-0.1,-0.1,-124.47461364390826
