Date,Forecast_Sales,Forecast_Date,Creation_Time
2026-04-30,3538.259841453959,2025-01-27,2025-01-27 17:37:07
2026-04-30,3538.259841453959,2025-01-27,2025-01-27 17:46:06
2026-04-30,3538.259841453959,2025-01-27,2025-01-27 17:46:08
2026-04-30,3538.259841453959,2025-01-27,2025-01-27 17:47:38
2026-04-30,3538.259841453959,2025-01-27,2025-01-27 17:56:10
2026-04-30,3538.259841453959,2025-01-27,2025-01-27 17:56:35
2025-01-31,1649.2199697780727,2025-01-28,2025-01-28 16:18:24
2025-02-28,2197.352448344813,2025-01-28,2025-01-28 16:18:24
2025-03-31,3297.42012995264,2025-01-28,2025-01-28 16:18:24
2025-04-30,3758.091171422293,2025-01-28,2025-01-28 16:18:24
2025-05-31,4027.045189795497,2025-01-28,2025-01-28 16:18:24
2025-06-30,3611.3680294701676,2025-01-28,2025-01-28 16:18:24
2025-07-31,4203.345157073884,2025-01-28,2025-01-28 16:18:24
2025-08-31,2734.422148777996,2025-01-28,2025-01-28 16:18:24
2025-09-30,2057.4200721855113,2025-01-28,2025-01-28 16:18:24
2025-10-31,2689.4105584506774,2025-01-28,2025-01-28 16:18:24
2025-11-30,2083.2568318272693,2025-01-28,2025-01-28 16:18:24
2025-12-31,1648.781810072785,2025-01-28,2025-01-28 16:18:24
2026-01-31,1779.2495685324993,2025-01-28,2025-01-28 16:18:24
2026-02-28,2257.6485165274225,2025-01-28,2025-01-28 16:18:24
2026-03-31,3408.0748175270783,2025-01-28,2025-01-28 16:18:24
