Date,Forecast_Sales,Forecast_Date,Creation_Time
2026-04-30,4640.285157922105,2025-01-27,2025-01-27 17:37:07
2026-04-30,4640.285157922105,2025-01-27,2025-01-27 17:46:05
2026-04-30,4640.285157922105,2025-01-27,2025-01-27 17:46:08
2026-04-30,4640.285157922105,2025-01-27,2025-01-27 17:47:38
2026-04-30,4640.285157922105,2025-01-27,2025-01-27 17:56:09
2026-04-30,4640.285157922105,2025-01-27,2025-01-27 17:56:34
2025-01-31,7054.314294698156,2025-01-28,2025-01-28 16:18:24
2025-02-28,5520.802277936498,2025-01-28,2025-01-28 16:18:24
2025-03-31,6147.854855424523,2025-01-28,2025-01-28 16:18:24
2025-04-30,5645.964256391277,2025-01-28,2025-01-28 16:18:24
2025-05-31,5383.451795886936,2025-01-28,2025-01-28 16:18:24
2025-06-30,5134.930313705392,2025-01-28,2025-01-28 16:18:24
2025-07-31,6963.36722334152,2025-01-28,2025-01-28 16:18:24
2025-08-31,10618.971661331312,2025-01-28,2025-01-28 16:18:24
2025-09-30,12603.007672436781,2025-01-28,2025-01-28 16:18:24
2025-10-31,17323.55675684011,2025-01-28,2025-01-28 16:18:24
2025-11-30,12627.091707724621,2025-01-28,2025-01-28 16:18:24
2025-12-31,8592.24346370761,2025-01-28,2025-01-28 16:18:24
2026-01-31,8316.71781262324,2025-01-28,2025-01-28 16:18:24
2026-02-28,6735.767034036813,2025-01-28,2025-01-28 16:18:24
2026-03-31,7379.246571178381,2025-01-28,2025-01-28 16:18:24
