Mes,SuperFamily,Familia,Codigo Producto,Venta 2024,Venta 2023,Venta 2022,Projection
1,Bebé,Baby Jakard,5602IMD181306,5.0,5.0,,5.0
1,Bebé,Baby Jakard,5602IMD181307,11.0,4.2,,4.0
1,Bebé,Baby Jakard,5602IMD181309,8.0,8.2,,3.0
1,Bebé,Baby Jakard,5602IMD181310,6.0,6.0,,4.0
1,Bebé,Baby Jakard,5602IMD181311,9.0,8.2,,3.0
1,Bebé,Baby Jakard,5602IMD181315,10.0,10.2,,6.0
1,Bebé,Baby Jakard,5602IMD181316,8.0,8.2,,5.0
1,Bebé,Baby Jakard,5602IMD181317,7.0,7.0,,5.0
1,Bebé,Baby Jakard,5602IMD181318,6.0,5.0,,3.0
1,Bebé,Baby Jakard,5602IMD181319,11.0,6.0,,6.0
1,Bebé,Baby Soft,1148AN1010003,47.0,53.0,72.0,43.0
1,Bebé,Baby Soft,1148AN1010014,21.0,31.0,62.0,25.0
1,Bebé,Baby Soft,1148AN1010024,17.0,12.0,44.0,18.0
1,Bebé,Baby Soft,1148AN1010026,65.0,55.0,65.0,45.0
1,Bebé,Baby Soft,1148AN1010034,33.0,48.0,58.0,32.0
1,Bebé,Baby Soft,1148AN1010039,32.0,29.0,31.0,30.0
1,Bebé,Baby Soft,1148AN1010041,25.0,27.0,58.0,28.0
1,Bebé,Baby Soft,1148AN1010050,22.0,21.0,33.0,18.0
1,Bebé,Baby Soft,1148AN1010081,52.0,53.0,75.0,39.0
1,Bebé,Baby Soft,1148AN1010229,50.0,46.0,44.0,35.0
1,Bebé,Baby Soft,1148AN1010439,48.0,29.0,43.0,29.0
1,Bebé,Baby Soft,1148AN1010730,20.0,34.0,37.0,26.0
1,Bebé,Baby Soft,1148AN1010734,42.0,35.0,42.0,33.0
1,Bebé,Baby Soft,1148AN1010812,31.0,31.0,34.0,21.0
1,Bebé,Baby Soft,1148AN1010831,18.0,31.0,48.0,24.0
1,Bebé,Baby Soft,1148AN1010875,36.0,28.0,62.0,28.0
1,Bebé,Baby Soft,1148AN1010888,36.0,39.0,54.0,37.0
1,Bebé,Baby Soft,1148AN1011102,173.2,225.0,142.0,139.0
1,Bebé,Baby Soft,1148AN1011302,70.0,74.0,76.0,54.0
1,Bebé,Baby Soft,1148AN1013401,34.0,28.0,31.0,23.0
1,Bebé,Baby Soft,1148AN1013602,24.0,32.0,31.0,26.0
1,Bebé,Baby Soft,1148AN1013902,15.0,24.0,26.0,17.0
1,Bebé,Baby Soft,1148AN1014204,24.0,10.0,34.0,16.0
1,Bebé,Baby Soft,1148AN1016402,17.0,13.0,35.0,15.0
1,Bebé,Baby Soft,1148AN1018902,65.0,69.0,70.0,49.0
1,Bebé,Bebe 100,5615IMD100208,,,,3.0
1,Bebé,Bebe 100,5615IMD100215,,,,2.0
1,Bebé,Bebe 100,5615IMD100217,,,,1.0
1,Bebé,Bebe 100,5615IMD100247,,,,0.0
1,Bebé,Bebe 100,5615IMD101036,,,,0.0
1,Bebé,Bebe 100,5615IMD101199,,,,0.0
1,Bebé,Bebe 100,5615IMD102197,,,,1.0
