Mes,SuperFamily,Familia,Codigo Producto,Venta 2025,Venta 2024,Venta 2023,Venta 2022,Projection 2025,Projection 2026
1,Invierno,Ukryl Etiqueta Dorada,1100AN1010022,21.0,34.0,38.0,43.0,25.956886118952948,30.81589481672057
1,Invierno,Ukryl Etiqueta Dorada,1100AN1010033,27.0,42.0,33.0,120.0,36.41024153175355,43.22606988188181
1,Invierno,Ukryl Etiqueta Dorada,1100AN1010134,16.0,32.0,33.0,,26.576850844785994,31.55191406393676
1,Invierno,Ukryl Etiqueta Dorada,1100AN1010219,,17.0,,,7.613872842881992,9.03915452719955
1,Invierno,Ukryl Etiqueta Dorada,1100AN1010425,12.0,16.0,16.0,80.0,19.8068801642924,23.514636270047504
1,Invierno,Ukryl Etiqueta Dorada,1100AN1010718,43.9,68.0,57.0,125.0,70.82159323573224,84.0790670307463
1,Invierno,Ukryl Etiqueta Dorada,1100AN1010728,17.0,16.0,10.0,86.0,25.61822211391604,30.41383448060781
1,Invierno,Ukryl Etiqueta Dorada,1100AN1010732,32.0,27.0,30.0,3.5,29.679983894195885,35.23593922838364
1,Invierno,Ukryl Etiqueta Dorada,1100AN1010735,57.0,98.0,70.0,113.0,62.63739697068711,74.36282718181941
1,Invierno,Ukryl Etiqueta Dorada,1100AN1010740,30.0,62.0,40.0,72.0,45.29504206259329,53.77406386587455
1,Invierno,Ukryl Etiqueta Dorada,1100AN1010769,36.0,41.0,45.0,60.0,40.5337791566004,48.12151462582153
1,Invierno,Ukryl Etiqueta Dorada,1100AN1010772,32.0,36.0,34.0,71.0,31.502371308922203,37.399469115218416
1,Invierno,Ukryl Etiqueta Dorada,1100AN1010807,32.0,24.0,32.0,70.0,25.7991370872908,30.628615897944915
1,Invierno,Ukryl Etiqueta Dorada,1100AN1010811,65.5,135.0,114.0,205.0,88.5664839595849,105.14571900026624
1,Invierno,Ukryl Etiqueta Dorada,1100AN1010829,32.0,55.0,36.0,111.0,44.16311002491128,52.43023940045012
1,Invierno,Ukryl Etiqueta Dorada,1100AN1010831,32.0,42.0,38.0,132.0,42.08700039142767,49.96549167222793
1,Invierno,Ukryl Etiqueta Dorada,1100AN1010875,22.0,32.0,42.6,70.0,41.49240788747035,49.259594209150485
1,Invierno,Ukryl Etiqueta Dorada,1100AN1010880,19.0,29.0,27.0,89.0,31.11296286013384,36.93716521082818
1,Invierno,Ukryl Etiqueta Dorada,1100AN1010882,47.0,43.0,45.0,95.0,44.23591727029381,52.51667582450042
1,Invierno,Ukryl Etiqueta Dorada,1100AN1010888,38.0,58.0,52.0,172.0,77.1889177864588,91.63832520678162
1,Invierno,Ukryl Etiqueta Dorada,1100AN1010900,29.0,19.0,51.0,28.0,32.855924188988304,39.00640081688081
1,Invierno,Ukryl Etiqueta Dorada,1100AN1011102,159.0,288.0,265.0,275.0,165.92418217852142,196.98441955371
1,Invierno,Ukryl Etiqueta Dorada,1100AN1011302,71.0,85.0,99.0,167.0,101.71944377996314,120.76085189778952
1,Invierno,Ukryl Etiqueta Dorada,1100AN1011777,11.0,23.0,21.0,,15.30275921130962,18.16736476402668
1,Invierno,Ukryl Etiqueta Dorada,1100AN1011788,7.0,22.0,21.0,,16.40258987261842,19.473078624301664
1,Invierno,Ukryl Etiqueta Dorada,1100AN1011799,10.0,23.4,18.0,,18.34742583639717,21.781978860675583
1,Invierno,Ukryl Etiqueta Dorada,1100AN1012302,20.0,34.0,31.0,98.0,28.79747182895312,34.18822499747091
1,Invierno,Ukryl Etiqueta Dorada,1100AN1012903,33.0,31.0,49.0,102.0,35.50897608512438,42.1560917235622
1,Invierno,Ukryl Etiqueta Dorada,1100AN1013102,38.0,55.0,31.0,86.0,36.52607124031667,43.36358237468911
1,Invierno,Ukryl Etiqueta Dorada,1100AN1013202,31.0,39.0,26.0,65.0,35.00925362818066,41.56282354030786
1,Invierno,Ukryl Etiqueta Dorada,1100AN1013602,83.0,81.0,116.0,219.0,92.69708168095369,110.04954545805325
1,Invierno,Ukryl Etiqueta Dorada,1100AN1013902,36.0,44.0,39.0,110.0,40.98055088962954,48.651919955221096
1,Invierno,Ukryl Etiqueta Dorada,1100AN1013916,32.0,36.0,43.0,99.0,36.84929128421183,43.7473077117609
1,Invierno,Ukryl Etiqueta Dorada,1100AN1013917,23.0,40.0,28.0,89.0,33.21885727581939,39.43727329434367
1,Invierno,Ukryl Etiqueta Dorada,1100AN1014850,26.0,45.0,33.0,63.0,37.17582074835165,44.13496197719861
1,Invierno,Ukryl Etiqueta Dorada,1100AN1015029,56.0,53.0,37.0,31.0,42.593341688860704,50.5666177122141
1,Invierno,Ukryl Etiqueta Dorada,1100AN1015032,38.0,38.0,26.0,73.0,31.468173966394044,37.35887018877055
1,Invierno,Ukryl Etiqueta Dorada,1100AN1015033,26.0,25.0,20.0,6.0,21.81569825280125,25.8994957881626
1,Invierno,Ukryl Etiqueta Dorada,1100AN1015102,42.0,55.0,45.0,70.0,35.03241956989328,41.59032603886932
1,Invierno,Ukryl Etiqueta Dorada,1100AN1015204,48.0,84.0,44.0,103.0,60.77529651302486,72.15215015459356
1,Invierno,Ukryl Etiqueta Dorada,1100AN1015302,27.0,33.0,25.0,63.0,29.84104234610269,35.427147075525205
1,Invierno,Ukryl Etiqueta Dorada,1100AN1015502,42.0,47.0,47.0,93.0,45.112913635128805,53.55784184146994
1,Invierno,Ukryl Etiqueta Dorada,1100AN1016202,20.0,36.0,38.0,68.0,25.37994385630049,30.13095163826137
1,Invierno,Ukryl Etiqueta Dorada,1100AN1016402,34.0,28.0,36.0,82.0,25.80796220794323,30.639093040254046
1,Invierno,Ukryl Etiqueta Dorada,1100AN1016702,63.0,59.0,64.0,112.0,62.14991936864863,73.78409603351899
1,Invierno,Ukryl Etiqueta Dorada,1100AN1016890,4.0,21.0,23.0,43.0,23.3766414681994,27.75264033408948
1,Invierno,Ukryl Etiqueta Dorada,1100AN1016902,24.0,41.0,68.0,75.0,47.95239620504741,56.92886237943163
1,Invierno,Ukryl Etiqueta Dorada,1100AN1017007,25.0,29.0,30.0,70.0,31.569662853896965,37.47935732532551
1,Invierno,Ukryl Etiqueta Dorada,1100AN1017402,21.0,31.0,31.0,71.0,30.556980259030883,36.27710524535316
1,Invierno,Ukryl Etiqueta Dorada,1100AN1017802,42.0,42.0,28.5,79.0,36.23484225878655,43.01783667848791
1,Invierno,Ukryl Etiqueta Dorada,1100AN1017902,15.0,20.0,34.0,68.0,26.767694078894746,31.77848226637164
1,Invierno,Ukryl Etiqueta Dorada,1100AN1018003,31.0,33.0,62.0,69.0,35.381011835664175,42.00417316007985
1,Invierno,Ukryl Etiqueta Dorada,1100AN1018902,116.0,260.0,270.0,302.0,239.64372440849456,284.50391819021587
1,Invierno,Ukryl Estampado,1106AN1010004,12.0,6.0,,,12.474308042206598,14.809440653951444
1,Invierno,Ukryl Estampado,1106AN1010007,13.0,7.0,,,13.59620150514641,16.141347369999192
1,Invierno,Ukryl Estampado,1106AN1010016,14.0,4.0,,,14.16873120747266,16.821051977303824
1,Invierno,Ukryl Estampado,1106AN1010021,5.0,4.0,,,8.893515337484006,10.558340162023
1,Invierno,Ukryl Estampado,1106AN1010024,13.0,8.0,,,17.386590825364106,20.641279991769352
1,Invierno,Ukryl Estampado,1106AN1010027,6.0,8.0,,,13.161564313014347,15.625348111274672
1,Invierno,Ukryl Estampado,1106AN1010029,4.0,5.0,,,9.448394798505396,11.217090484709376
1,Invierno,Ukryl Estampado,1106AN1010031,,6.0,,,10.31325662244331,12.243850431003848
1,Invierno,Ukryl Estampado,1106AN1010041,10.0,2.0,,,13.83778918300662,16.428159140711553
1,Invierno,Ukryl Estampado,1106AN1010062,,2.0,,,12.219482683367692,14.50691316977534
1,Invierno,Ukryl Estampado,1106AN1010064,4.0,3.0,,,12.59896287142208,14.95743028906781
1,Invierno,Ukryl Estampado,1106AN1010065,6.0,3.0,,,5.163798721751753,6.130437893628091
1,Invierno,Ukryl Estampado,1106AN1010077,8.0,7.0,,,14.351852461010534,17.038452680218214
1,Invierno,Ukryl Estampado,1106AN1010082,8.0,7.0,,,10.389373288070498,12.33421578342007
