Date,SuperFamily,Familia,Codigo Producto,Projection,Sales
2022-01-01,Bebé,Baby Soft,1148AN1010003,,72
2022-01-01,Bebé,Baby Soft,1148AN1010014,,64
2022-01-01,Bebé,Baby Soft,1148AN1010024,,46
2022-01-01,Bebé,Baby Soft,1148AN1010026,,67
2022-01-01,Bebé,Baby Soft,1148AN1010034,,59
2022-01-01,Bebé,Baby Soft,1148AN1010039,,32
2022-01-01,Bebé,Baby Soft,1148AN1010041,,57
2022-01-01,Bebé,Baby Soft,1148AN1010050,,33
2022-01-01,Bebé,Baby Soft,1148AN1010081,,78
2022-01-01,Bebé,Baby Soft,1148AN1010229,,47
2022-01-01,Bebé,Baby Soft,1148AN1010439,,42
2022-01-01,Bebé,Baby Soft,1148AN1010730,,37
2022-01-01,Bebé,Baby Soft,1148AN1010734,,42
2022-01-01,Bebé,Baby Soft,1148AN1010812,,34
2022-01-01,Bebé,Baby Soft,1148AN1010831,,46
2022-01-01,Bebé,Baby Soft,1148AN1010875,,64
2022-01-01,Bebé,Baby Soft,1148AN1010888,,57
2022-01-01,Bebé,Baby Soft,1148AN1011102,,138
2022-01-01,Bebé,Baby Soft,1148AN1011302,,77
2022-01-01,Bebé,Baby Soft,1148AN1013401,,31
2022-01-01,Bebé,Baby Soft,1148AN1013602,,31
2022-01-01,Bebé,Baby Soft,1148AN1013902,,26
2022-01-01,Bebé,Baby Soft,1148AN1014204,,34
2022-01-01,Bebé,Baby Soft,1148AN1016402,,37
2022-01-01,Bebé,Baby Soft,1148AN1018902,,67
2022-01-01,Bebé,Bebe 100,5615IMD100208,,7
2022-01-01,Bebé,Bebe 100,5615IMD100214,,10
2022-01-01,Bebé,Bebe 100,5615IMD100215,,5
2022-01-01,Bebé,Bebe 100,5615IMD100229,,3
2022-01-01,Bebé,Bebe 100,5615IMD100256,,4
2022-01-01,Bebé,Bebe 100,5615IMD102197,,11
2022-01-01,Invierno,Bonbon Classic,5248IM0108200,,77
2022-01-01,Invierno,Bonbon Classic,5248IM0108204,,45
2022-01-01,Invierno,Bonbon Classic,5248IM0108206,,87
2022-01-01,Invierno,Bonbon Classic,5248IM0108207,,34
2022-01-01,Invierno,Bonbon Classic,5248IM0108209,,40
2022-01-01,Invierno,Bonbon Classic,5248IM0108211,,55
2022-01-01,Invierno,Bonbon Classic,5248IM0108217,,12
2022-01-01,Invierno,Bonbon Classic,5248IM0108219,,42
2022-01-01,Invierno,Bonbon Classic,5248IM0108220,,20
2022-01-01,Invierno,Bonbon Classic,5248IM0108223,,67
2022-01-01,Invierno,Bonbon Classic,5248IM0108224,,24
2022-01-01,Invierno,Bonbon Classic,5248IM0108226,,64
2022-01-01,Invierno,Bonbon Classic,5248IM0108236,,19
2022-01-01,Invierno,Bonbon Classic,5248IM0108237,,59
2022-01-01,Invierno,Bonbon Classic,5248IM0108239,,19
2022-01-01,Invierno,Bonbon Classic,5248IM0108242,,25
2022-01-01,Invierno,Bonbon Classic,5248IM0108322,,34
2022-01-01,Invierno,Bonbon Classic,5248IM0108402,,14
2022-01-01,Invierno,Bonbon Classic,5248IM0108404,,33
2022-01-01,Invierno,Bonbon Classic,5248IM0108488,,38
2022-01-01,Invierno,Bonbon Classic,5248IM0108769,,56
2022-01-01,Hilos Verano,Cotton Premium,5527IM6010003,,16
2022-01-01,Hilos Verano,Cotton Premium,5527IM6010081,,4
2022-01-01,Hilos Verano,Cotton Premium,5527IM6010205,,9
2022-01-01,Hilos Verano,Cotton Premium,5527IM6010229,,12
2022-01-01,Hilos Verano,Cotton Premium,5527IM6010279,,2
2022-01-01,Hilos Verano,Cotton Premium,5527IM6010439,,19
2022-01-01,Hilos Verano,Cotton Premium,5527IM6010728,,5
2022-01-01,Hilos Verano,Cotton Premium,5527IM6010730,,6
2022-01-01,Hilos Verano,Cotton Premium,5527IM6010875,,10
2022-01-01,Hilos Verano,Cotton Premium,5527IM6010888,,13
2022-01-01,Hilos Verano,Cotton Premium,5527IM6011102,,55
2022-01-01,Hilos Verano,Cotton Premium,5527IM6011302,,32
2022-01-01,Hilos Verano,Cotton Premium,5527IM6012903,,9
2022-01-01,Hilos Verano,Cotton Premium,5527IM6013401,,7
2022-01-01,Hilos Verano,Cotton Premium,5527IM6013602,,11
2022-01-01,Hilos Verano,Cotton Premium,5527IM6016210,,5
2022-01-01,Hilos Verano,Cotton Premium,5527IM6016215,,11
2022-01-01,Hilos Verano,Cotton Premium,5527IM6018102,,12
2022-01-01,Hilos Verano,Cotton Premium,5527IM6018257,,3
2022-01-01,Hilos Verano,Cotton Premium,5527IM6018259,,18
2022-01-01,Hilos Verano,Cotton Premium,5527IM6018902,,20
2022-01-01,Hilos Verano,Fresquita,1300ANV010003,,11
2022-01-01,Hilos Verano,Fresquita,1300ANV010022,,14
2022-01-01,Hilos Verano,Fresquita,1300ANV010026,,6
2022-01-01,Hilos Verano,Fresquita,1300ANV010028,,4
2022-01-01,Hilos Verano,Fresquita,1300ANV010029,,13
2022-01-01,Hilos Verano,Fresquita,1300ANV010033,,7
2022-01-01,Hilos Verano,Fresquita,1300ANV010055,,4
2022-01-01,Hilos Verano,Fresquita,1300ANV010081,,14
2022-01-01,Hilos Verano,Fresquita,1300ANV010205,,10
2022-01-01,Hilos Verano,Fresquita,1300ANV010209,,4
2022-01-01,Hilos Verano,Fresquita,1300ANV010216,,12
2022-01-01,Hilos Verano,Fresquita,1300ANV010223,,20
2022-01-01,Hilos Verano,Fresquita,1300ANV010225,,15
2022-01-01,Hilos Verano,Fresquita,1300ANV010229,,29
2022-01-01,Hilos Verano,Fresquita,1300ANV010231,,11
2022-01-01,Hilos Verano,Fresquita,1300ANV010259,,8
2022-01-01,Hilos Verano,Fresquita,1300ANV010279,,7
2022-01-01,Hilos Verano,Fresquita,1300ANV010281,,6
2022-01-01,Hilos Verano,Fresquita,1300ANV010288,,11
2022-01-01,Hilos Verano,Fresquita,1300ANV010289,,21
2022-01-01,Hilos Verano,Fresquita,1300ANV010425,,3
2022-01-01,Hilos Verano,Fresquita,1300ANV010439,,11
2022-01-01,Hilos Verano,Fresquita,1300ANV010712,,4
2022-01-01,Hilos Verano,Fresquita,1300ANV010730,,22
2022-01-01,Hilos Verano,Fresquita,1300ANV010731,,7
2022-01-01,Hilos Verano,Fresquita,1300ANV011033,,4
2022-01-01,Hilos Verano,Fresquita,1300ANV011102,,230
2022-01-01,Hilos Verano,Fresquita,1300ANV011281,,8
2022-01-01,Hilos Verano,Fresquita,1300ANV011302,,59
2022-01-01,Hilos Verano,Fresquita,1300ANV011777,,10
2022-01-01,Hilos Verano,Fresquita,1300ANV011788,,10
2022-01-01,Hilos Verano,Fresquita,1300ANV011799,,2
2022-01-01,Hilos Verano,Fresquita,1300ANV012502,,4
2022-01-01,Hilos Verano,Fresquita,1300ANV013401,,16
2022-01-01,Hilos Verano,Fresquita,1300ANV013602,,42
2022-01-01,Hilos Verano,Fresquita,1300ANV014204,,6
2022-01-01,Hilos Verano,Fresquita,1300ANV014850,,8
2022-01-01,Hilos Verano,Fresquita,1300ANV016210,,19
2022-01-01,Hilos Verano,Fresquita,1300ANV016211,,3
2022-01-01,Hilos Verano,Fresquita,1300ANV016212,,2
2022-01-01,Hilos Verano,Fresquita,1300ANV016213,,7
2022-01-01,Hilos Verano,Fresquita,1300ANV016214,,7
2022-01-01,Hilos Verano,Fresquita,1300ANV016215,,30
2022-01-01,Hilos Verano,Fresquita,1300ANV016402,,8
