Month,Familia,Forecast_Family
2025-01,Baby Jakard,56.837991460358666
2025-01,Baby Soft,894.3770432997196
2025-01,Bebe 100,35.56595438596179
2025-01,Lolipop,115.51574465079885
2025-01,Super Nene,546.9232359812339
2025-02,Baby Jakard,75.72858804955347
2025-02,Baby Soft,1191.6309660636048
2025-02,Bebe 100,47.386606019710925
2025-02,Lolipop,153.9083985048784
2025-02,Super Nene,728.6978897070658
2025-03,Baby Jakard,113.64083665120967
2025-03,Baby Soft,1788.2010407264654
2025-03,Bebe 100,71.10991625272948
2025-03,Lolipop,230.96005912981363
2025-03,Super Nene,1093.5082771924222
2025-04,Baby Jakard,129.5172007511484
2025-04,Baby Soft,2038.02435814535
2025-04,Bebe 100,81.04443411455716
2025-04,Lolipop,263.22668175722873
2025-04,Super Nene,1246.278496654009
2025-05,Baby Jakard,138.78631371343107
2025-05,Baby Soft,2183.8789464623796
2025-05,Bebe 100,86.84451325783222
2025-05,Lolipop,282.0649351609794
2025-05,Super Nene,1335.4704812008752
2025-06,Baby Jakard,124.46059893809004
2025-06,Baby Soft,1958.4559486623841
2025-06,Bebe 100,77.88030278601373
2025-06,Lolipop,252.9498034082567
2025-06,Super Nene,1197.621375675424
2025-07,Baby Jakard,144.86223822214222
2025-07,Baby Soft,2279.4869589517625
2025-07,Bebe 100,90.64647825302534
2025-07,Lolipop,294.4134528695146
2025-07,Super Nene,1393.9360287774402
2025-08,Baby Jakard,94.23792192024771
2025-08,Baby Soft,1482.8855103460958
2025-08,Bebe 100,58.96868531642179
2025-08,Lolipop,191.5261860115801
2025-08,Super Nene,906.8038451836508
2025-09,Baby Jakard,70.90602020116613
2025-09,Baby Soft,1115.7452096789661
2025-09,Bebe 100,44.36891972024738
2025-09,Lolipop,144.10716341858935
2025-09,Super Nene,682.2927591665431
2025-10,Baby Jakard,92.68666227415845
2025-10,Baby Soft,1458.4755869830028
2025-10,Bebe 100,57.99799602223599
2025-10,Lolipop,188.3734547387005
2025-10,Super Nene,891.87685843258
2025-11,Baby Jakard,71.79644691851855
2025-11,Baby Soft,1129.756563604028
2025-11,Bebe 100,44.92609767815403
2025-11,Lolipop,145.91683864934888
2025-11,Super Nene,690.86088497722
2025-12,Baby Jakard,56.82289091704499
2025-12,Baby Soft,894.1394279488935
2025-12,Bebe 100,35.55650533224088
2025-12,Lolipop,115.48505478191551
2025-12,Super Nene,546.7779310926903
2026-01,Baby Jakard,61.3192743450138
2026-01,Baby Soft,964.8924931527081
2026-01,Bebe 100,38.37008413388568
2026-01,Lolipop,124.62336292004852
2026-01,Super Nene,590.0443539808432
2026-02,Baby Jakard,77.80660521600673
2026-02,Baby Soft,1224.3297086037023
2026-02,Bebe 100,48.68690995122595
2026-02,Lolipop,158.13169518043753
2026-02,Super Nene,748.6935975760503
2026-03,Baby Jakard,117.45439112099389
2026-03,Baby Soft,1848.2094168761903
2026-03,Bebe 100,73.4962198647303
2026-03,Lolipop,238.71060718798614
2026-03,Super Nene,1130.2041824771782
