Month,Familia,Product_Code,Forecast_Product
2025-01,Baby Jakard,5602IMD181306,6.555974816775757
2025-01,Baby Jakard,5602IMD181307,5.950124569480219
2025-01,Baby Jakard,5602IMD181309,4.352883008428348
2025-01,Baby Jakard,5602IMD181310,5.79022274468081
2025-01,Baby Jakard,5602IMD181311,5.2572166620161145
2025-01,Baby Jakard,5602IMD181315,7.586453243260834
2025-01,Baby Jakard,5602IMD181316,7.87072315401534
2025-01,Baby Jakard,5602IMD181317,7.030350230347335
2025-01,Baby Jakard,5602IMD181318,5.6303209198814015
2025-01,Baby Jakard,5602IMD181319,7.208018924568901
2025-01,Baby Soft,1148AN1010003,50.88786739894071
2025-01,Baby Soft,1148AN1010014,29.302897737962752
2025-01,Baby Soft,1148AN1010024,22.21747021240673
2025-01,Baby Soft,1148AN1010026,50.44369566338679
2025-01,Baby Soft,1148AN1010034,36.340354716078956
2025-01,Baby Soft,1148AN1010039,37.23580493495564
2025-01,Baby Soft,1148AN1010041,32.28595511394283
2025-01,Baby Soft,1148AN1010050,22.300974498690866
2025-01,Baby Soft,1148AN1010081,45.93446420404347
2025-01,Baby Soft,1148AN1010229,42.57474919631368
2025-01,Baby Soft,1148AN1010439,28.755678159760333
2025-01,Baby Soft,1148AN1010730,32.94510596950484
2025-01,Baby Soft,1148AN1010734,40.439171491770466
2025-01,Baby Soft,1148AN1010812,25.756630601300312
2025-01,Baby Soft,1148AN1010831,24.864733756308055
2025-01,Baby Soft,1148AN1010875,33.48877217382283
2025-01,Baby Soft,1148AN1010888,44.27681528695627
2025-01,Baby Soft,1148AN1011102,139.3082464521871
2025-01,Baby Soft,1148AN1011302,67.37019216187532
2025-01,Baby Soft,1148AN1013401,28.052110130642934
2025-01,Baby Soft,1148AN1013602,32.40854651295571
2025-01,Baby Soft,1148AN1013902,16.420140719957057
2025-01,Baby Soft,1148AN1014204,20.499413939284196
2025-01,Baby Soft,1148AN1016402,18.90394906517454
2025-01,Baby Soft,1148AN1018902,51.95743293815453
2025-01,Bebe 100,5615IMD100208,12.36218774393651
2025-01,Bebe 100,5615IMD100214,2.5850795009237744
2025-01,Bebe 100,5615IMD100215,3.8642940993190438
2025-01,Bebe 100,5615IMD100217,2.0112096185881185
2025-01,Bebe 100,5615IMD100229,2.91376658523367
