Month,Familia,Forecast_Family
2025-01,Batik Soft,81.89616142894046
2025-01,Bonbon Classic,496.2018774995133
2025-01,Bruni,120.25752118346692
2025-01,Diana,250.5452157904065
2025-01,Extra,488.17652647206035
2025-01,Glaciar,219.09541684332208
2025-01,Glaciar Estampado Ac,77.51828395191787
2025-01,Happy Soft,282.99212217254836
2025-01,Happy Soft Estampado,63.0693183086467
2025-01,Krehuel,241.3333372224521
2025-01,Krehuel Estampado,35.31169605687746
2025-01,Mandala,357.91156227777407
2025-01,Mosaico,140.69670824130034
2025-01,Nako Melange,194.95723396637752
2025-01,Sport Ukryl,371.5907246125206
2025-01,Super Economico 100 gr,2703.817438407592
2025-01,Super Económico 50g,361.1536768025541
2025-01,Terra,36.99905035617294
2025-01,Tiramisu,48.703697511770905
2025-01,Ukryl Estampado,283.2391259900474
2025-01,Ukryl Etiqueta Dorada,3297.1096974421757
2025-01,Vizon Anatolia,99.99108526179846
2025-02,Batik Soft,114.80576164669674
2025-02,Bonbon Classic,695.5983465266737
2025-02,Bruni,168.58245945008156
2025-02,Diana,351.22567192250574
2025-02,Extra,684.3480446674312
2025-02,Glaciar,307.13791422108574
2025-02,Glaciar Estampado Ac,108.66865400482519
2025-02,Happy Soft,396.71122014948884
2025-02,Happy Soft Estampado,88.41343719442526
2025-02,Krehuel,338.31204182387745
2025-02,Krehuel Estampado,49.50154061083841
2025-02,Mandala,501.7366967206658
2025-02,Mosaico,197.23504092241237
2025-02,Nako Melange,273.2999122732241
2025-02,Sport Ukryl,520.9127682620899
2025-02,Super Economico 100 gr,3790.3341860453806
2025-02,Super Económico 50g,506.281640230456
2025-02,Terra,51.86695056557153
2025-02,Tiramisu,68.27505697810736
2025-02,Ukryl Estampado,397.0574813283137
2025-02,Ukryl Etiqueta Dorada,4622.038242610415
2025-02,Vizon Anatolia,140.1720483727571
2025-03,Batik Soft,202.93572743608323
2025-03,Bonbon Classic,1229.5703145120751
2025-03,Bruni,297.99379012656595
2025-03,Diana,620.841987401001
2025-03,Extra,1209.6837847862685
2025-03,Glaciar,542.9105225351792
2025-03,Glaciar Estampado Ac,192.08750531035525
2025-03,Happy Soft,701.2442484449914
2025-03,Happy Soft Estampado,156.28349078324672
2025-03,Krehuel,598.0152853233615
2025-03,Krehuel Estampado,87.50110629448838
2025-03,Mandala,886.8919126526732
2025-03,Mosaico,348.6413567696326
2025-03,Nako Melange,483.0969779727972
2025-03,Sport Ukryl,920.7883824100102
2025-03,Super Economico 100 gr,6699.961868099374
2025-03,Super Económico 50g,894.9257552411102
2025-03,Terra,91.68230924948946
2025-03,Tiramisu,120.68600177255045
2025-03,Ukryl Estampado,701.8563149754495
2025-03,Ukryl Etiqueta Dorada,8170.118638192306
2025-03,Vizon Anatolia,247.77429455388116
2025-04,Batik Soft,248.7009601239989
2025-04,Bonbon Classic,1506.8579674095772
2025-04,Bruni,365.19612712753366
2025-04,Diana,760.8517253353122
2025-04,Extra,1482.4867090864204
2025-04,Glaciar,665.3454762343301
2025-04,Glaciar Estampado Ac,235.40629145035834
2025-04,Happy Soft,859.385974431883
2025-04,Happy Soft Estampado,191.52790245653236
2025-04,Krehuel,732.8772390538787
2025-04,Krehuel Estampado,107.23399680426107
2025-04,Mandala,1086.9001382341646
2025-04,Mosaico,427.2655252133989
2025-04,Nako Melange,592.0430264930974
2025-04,Sport Ukryl,1128.440800787627
2025-04,Super Economico 100 gr,8210.909781350898
2025-04,Super Económico 50g,1096.7457400435287
2025-04,Terra,112.35812749588405
2025-04,Tiramisu,147.90261376628908
2025-04,Ukryl Estampado,860.1360716952278
2025-04,Ukryl Etiqueta Dorada,10012.610274774699
2025-04,Vizon Anatolia,303.65133694363976
2025-05,Batik Soft,295.2185073882288
2025-05,Bonbon Classic,1788.7038303467682
2025-05,Bruni,433.50317385505235
2025-05,Diana,903.1630219089554
2025-05,Extra,1759.7741209409496
2025-05,Glaciar,789.793084407377
2025-05,Glaciar Estampado Ac,279.43717610548526
2025-05,Happy Soft,1020.1273228525711
