Month,Familia,Forecast_Family
2025-01,Acqua Microfibra,115.41825212073428
2025-01,Cotton Premium,1206.2478666979453
2025-01,Delicia Verano,157.83234090783293
2025-01,Fresquita,1361.9123491837981
2025-01,Fresquita Estampado,204.69237662814461
2025-01,Margarita,860.7230784823527
2025-01,Natura Algodón 100 gr,233.9033502802469
2025-01,Natura Algodón 500 gr,303.3409578371563
2025-01,Perle Verano,1916.8253158297223
2025-01,Sinfonia,59.41401810748355
2025-02,Acqua Microfibra,83.46631257185612
2025-02,Cotton Premium,872.3149036742215
2025-02,Delicia Verano,114.13865015370784
2025-02,Fresquita,984.8858368911729
2025-02,Fresquita Estampado,148.0261360295856
2025-02,Margarita,622.4438525656062
2025-02,Natura Algodón 100 gr,169.1504574655418
2025-02,Natura Algodón 500 gr,219.36522809405753
2025-02,Perle Verano,1386.1788583432292
2025-02,Sinfonia,42.96607265652978
2025-03,Acqua Microfibra,98.44859060973151
2025-03,Cotton Premium,1028.8962119976047
2025-03,Delicia Verano,134.62664032337602
2025-03,Fresquita,1161.6737287866708
2025-03,Fresquita Estampado,174.59696033619838
2025-03,Margarita,734.1730828952174
2025-03,Natura Algodón 100 gr,199.51311643410253
2025-03,Natura Algodón 500 gr,258.74148347035316
2025-03,Perle Verano,1634.9992078470327
2025-03,Sinfonia,50.67852127083149
2025-04,Acqua Microfibra,91.21448393255895
2025-04,Cotton Premium,953.2918289258811
2025-04,Delicia Verano,124.7341322472637
2025-04,Fresquita,1076.3127131940219
2025-04,Fresquita Estampado,161.7673908242375
2025-04,Margarita,680.2252674081801
2025-04,Natura Algodón 100 gr,184.8526813903856
2025-04,Natura Algodón 500 gr,239.72888530473358
2025-04,Perle Verano,1514.8577348873484
2025-04,Sinfonia,46.954609868504974
2025-05,Acqua Microfibra,99.76914820307894
2025-05,Cotton Premium,1042.6974934289055
2025-05,Delicia Verano,136.43247858926495
2025-05,Fresquita,1177.2560449380796
2025-05,Fresquita Estampado,176.93894756343406
2025-05,Margarita,744.0210434748859
2025-05,Natura Algodón 100 gr,202.1893209307611
2025-05,Natura Algodón 500 gr,262.21215815035185
2025-05,Perle Verano,1656.9305590798658
2025-05,Sinfonia,51.358306584865225
2025-06,Acqua Microfibra,84.46864297019704
2025-06,Cotton Premium,882.7903603936707
2025-06,Delicia Verano,115.50931857249259
2025-06,Fresquita,996.7131356275534
2025-06,Fresquita Estampado,149.80375254719164
2025-06,Margarita,629.9186573756285
2025-06,Natura Algodón 100 gr,171.18175177083438
2025-06,Natura Algodón 500 gr,221.99954162346341
2025-06,Perle Verano,1402.8252054076067
2025-06,Sinfonia,43.48204370393754
2025-07,Acqua Microfibra,122.01584184703178
2025-07,Cotton Premium,1275.1999465160468
2025-07,Delicia Verano,166.85442373890658
2025-07,Fresquita,1439.7625917406995
2025-07,Fresquita Estampado,216.39309377018373
2025-07,Margarita,909.9241158870959
2025-07,Natura Algodón 100 gr,247.2738381571665
2025-07,Natura Algodón 500 gr,320.6806692798332
2025-07,Perle Verano,2026.39574146393
2025-07,Sinfonia,62.81026877201401
2025-08,Acqua Microfibra,217.58959296357997
2025-08,Cotton Premium,2274.050919203288
2025-08,Delicia Verano,297.54977383213105
2025-08,Fresquita,2567.5137880357843
2025-08,Fresquita Estampado,385.8915734287456
2025-08,Margarita,1622.6582958943457
2025-08,Natura Algodón 100 gr,440.96088655941094
2025-08,Natura Algodón 500 gr,571.8665317849851
2025-08,Perle Verano,3613.6506366201374
2025-08,Sinfonia,112.00890482048544
2025-09,Acqua Microfibra,247.22553893877182
2025-09,Cotton Premium,2583.779198338514
2025-09,Delicia Verano,338.07638589163133
2025-09,Fresquita,2917.212038197614
2025-09,Fresquita Estampado,438.4504374196823
2025-09,Margarita,1843.6661710337178
2025-09,Natura Algodón 100 gr,501.02025260379145
2025-09,Natura Algodón 500 gr,649.7553931508725
2025-09,Perle Verano,4105.833895853576
2025-09,Sinfonia,127.26464295937669
2025-10,Acqua Microfibra,296.8025953691438
2025-10,Cotton Premium,3101.9140466616645
2025-10,Delicia Verano,405.87210041640225
2025-10,Fresquita,3502.211413496385
2025-10,Fresquita Estampado,526.3745336566018
2025-10,Margarita,2213.3834024834327
2025-10,Natura Algodón 100 gr,601.4917064945201
2025-10,Natura Algodón 500 gr,780.0532577260902
2025-10,Perle Verano,4929.192031191201
2025-10,Sinfonia,152.78549494203028
2025-11,Acqua Microfibra,247.15990378678916
2025-11,Cotton Premium,2583.0932387038392
2025-11,Delicia Verano,337.98663102623595
2025-11,Fresquita,2916.4375564983743
2025-11,Fresquita Estampado,438.33403455442635
2025-11,Margarita,1843.1767017423954
2025-11,Natura Algodón 100 gr,500.8872382697254
2025-11,Natura Algodón 500 gr,649.5828915793759
2025-11,Perle Verano,4104.74385057376
2025-11,Sinfonia,127.23085585866487
2025-12,Acqua Microfibra,148.59652199426043
2025-12,Cotton Premium,1552.9973324046782
2025-12,Delicia Verano,203.2030158677402
2025-12,Fresquita,1753.4093146554371
2025-12,Fresquita Estampado,263.53349393875766
2025-12,Margarita,1108.1475720917958
2025-12,Natura Algodón 100 gr,301.14148928621626
2025-12,Natura Algodón 500 gr,390.53971520776
2025-12,Perle Verano,2467.8382315553854
2025-12,Sinfonia,76.49324336709509
