Date,Año,Mes,RUPR,Super Familia,Familia,Descripción Producto,Product_Code,unidad,Sales,Year,Month,Quarter,DayOfWeek
2022-01-01,2022,1,R10,BEBÉ,Bebe 100,Nako Bebe 100 100% Acrilico Premiun 100g c00215,5615IMD100215,KG,5.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Bebe 100,Nako Bebe 100 100% Acrilico Premiun 100g c00208,5615IMD100208,KG,7.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Bebe 100,Nako Bebe 100 100% Acrilico Premiun 100g c02197,5615IMD102197,KG,11.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c0001,1140NA1010001,KG,38.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c1102,1148AN1011102,KG,110.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c0888,1148AN1010888,KG,41.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c1302,1148AN1011302,KG,60.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c3902,1148AN1013902,KG,16.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c3602,1148AN1013602,KG,21.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c3401,1148AN1013401,KG,19.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c0734,1148AN1010734,KG,31.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c0439,1148AN1010439,KG,23.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c0229,1148AN1010229,KG,34.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c0730,1148AN1010730,KG,24.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c0875,1148AN1010875,KG,46.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c0003,1140NA1010003,KG,53.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c0831,1148AN1010831,KG,34.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c0812,1148AN1010812,KG,22.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c0005,1140NA1010005,KG,16.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c6402,1148AN1016402,KG,27.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c4204,1148AN1014204,KG,22.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c8902,1148AN1018902,KG,51.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c6902,1140NA1016902,KG,7.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c0073,1140NA1010073,KG,69.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c1302,1140NA1011302,KG,51.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c3952,1140NA1013952,KG,25.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c8902,1140NA1018902,KG,26.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c0034,1140NA1010034,KG,37.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c0730,1140NA1010730,KG,41.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c0732,1140NA1010732,KG,27.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c0731,1140NA1010731,KG,27.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c0734,1140NA1010734,KG,41.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c1102,1140NA1011102,KG,115.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c0439,1140NA1010439,KG,39.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c0829,1140NA1010829,KG,36.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c0034,1148AN1010034,KG,46.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c0026,1148AN1010026,KG,51.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c0024,1148AN1010024,KG,31.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c0008,1140NA1010008,KG,27.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c0039,1148AN1010039,KG,19.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c0081,1148AN1010081,KG,59.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c0050,1148AN1010050,KG,20.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c0041,1148AN1010041,KG,38.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c0007,1140NA1010007,KG,18.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c0026,1140NA1010026,KG,31.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c0014,1148AN1010014,KG,45.0,2022,1,1,5
2022-01-01,2022,1,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c0003,1148AN1010003,KG,58.0,2022,1,1,5
2022-02-01,2022,2,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c0034,1140NA1010034,KG,64.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c0014,1148AN1010014,KG,47.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c0003,1148AN1010003,KG,78.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c0008,1140NA1010008,KG,32.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c0026,1140NA1010026,KG,75.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c8902,1140NA1018902,KG,55.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c0734,1140NA1010734,KG,59.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c0439,1140NA1010439,KG,36.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c0829,1140NA1010829,KG,47.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c0731,1140NA1010731,KG,46.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c0732,1140NA1010732,KG,26.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c0730,1140NA1010730,KG,74.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c0073,1140NA1010073,KG,57.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c3952,1140NA1013952,KG,55.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c6902,1140NA1016902,KG,17.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c1102,1140NA1011102,KG,130.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c1302,1140NA1011302,KG,56.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c0024,1148AN1010024,KG,31.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c0001,1140NA1010001,KG,66.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c1102,1148AN1011102,KG,146.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c3401,1148AN1013401,KG,31.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c1302,1148AN1011302,KG,58.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c0875,1148AN1010875,KG,42.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c0888,1148AN1010888,KG,58.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c6402,1148AN1016402,KG,25.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c8902,1148AN1018902,KG,32.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c3902,1148AN1013902,KG,21.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c3602,1148AN1013602,KG,58.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c4204,1148AN1014204,KG,29.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c0041,1148AN1010041,KG,55.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c0007,1140NA1010007,KG,43.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Super Nene,Super Nene Acri Inv 100% 100g c0005,1140NA1010005,KG,42.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c0081,1148AN1010081,KG,62.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c0050,1148AN1010050,KG,33.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c0039,1148AN1010039,KG,46.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c0026,1148AN1010026,KG,60.0,2022,2,1,1
2022-02-01,2022,2,R10,BEBÉ,Baby Soft,Baby Soft Acri Inv 100% 100g c0034,1148AN1010034,KG,37.0,2022,2,1,1
