Date,Año,Mes,RUPR,Super Familia,Familia,Descripción Producto,Product_Code,unidad,Sales,Year,Month,Quarter,DayOfWeek
2022-01-01,2022,1,R30,COSTURAS VARIAS,Besitos,Besitos 1.0 cm 144un Rojo hojas verdes c015,BESITOS10B015,UN,12.0,2022,1,1,5
2022-01-01,2022,1,R30,COSTURAS VARIAS,Aceite Maquina,Aceite Maquina 100ml Caja 12UN,ACEIMAQ100ML,UN,33.0,2022,1,1,5
2022-01-01,2022,1,R30,COSTURAS VARIAS,Cala Eva,Cala Eva 2.8cm Bolsa 144un c-004,EVACALA28B004,UN,10.0,2022,1,1,5
2022-01-01,2022,1,R30,COSTURAS VARIAS,Parche Bolsa PATCH,Parche Bolsa 10un 6.8 x 5.0cm PATCH-063,PATCH-063,UN,11.0,2022,1,1,5
2022-01-01,2022,1,R30,COSTURAS VARIAS,Parche Bolsa PATCH,Parche Bolsa 10un 14 cm PATCH-A2,PATCH-A2,UN,2.0,2022,1,1,5
2022-01-01,2022,1,R30,COSTURAS VARIAS,Besitos,Besitos 1.0 cm 144un light blue hojas verde  c006,BESITOS10B006,UN,2.0,2022,1,1,5
2022-01-01,2022,1,R30,COSTURAS VARIAS,Tijera Corta Hilacha,Tijera Corta Hilacha Caja 12un 0330-6104,TIJERALANACLI,UN,41.0,2022,1,1,5
2022-01-01,2022,1,R30,COSTURAS VARIAS,Parche Bolsa PATCH,Parche Bolsa 10un 5.5 x 5.5cm PATCH-128,PATCH-128,UN,3.0,2022,1,1,5
2022-01-01,2022,1,R30,COSTURAS VARIAS,Besitos,Besitos 1.0 cm 144un Amarillo hojas verdes c016,BESITOS10B016,UN,3.0,2022,1,1,5
2022-01-01,2022,1,R30,COSTURAS VARIAS,Set Tijeras Pulg Klein,Set Tijeras 07/08/09 Pulg Klein 12 SET,TIJERSETKLEIN,UN,20.0,2022,1,1,5
2022-01-01,2022,1,R30,COSTURAS VARIAS,Rococo Mediano Bolsa,Rococo Mediano Bolsa 100un c003,ROCOCOR7003,UN,9.0,2022,1,1,5
2022-01-01,2022,1,R30,COSTURAS VARIAS,Besitos,Besitos 1.0 cm 144un Rosado hojas verde c004,BESITOS10B004,UN,1.0,2022,1,1,5
2022-01-01,2022,1,R30,COSTURAS VARIAS,Tijera Klein,Tijera Klein 09 Pulgadas Caja 12 Tijeras,TIJERA09KLEIN,UN,51.0,2022,1,1,5
2022-01-01,2022,1,R30,COSTURAS VARIAS,Rosa Eva Bolsa,Rosa Eva 2.0cm Bolsa 144un c-007,EVAROSA20B007,UN,5.0,2022,1,1,5
2022-01-01,2022,1,R30,COSTURAS VARIAS,Cala Eva,Cala Eva 2.8cm Bolsa 144un c-003,EVACALA28B003,UN,12.0,2022,1,1,5
2022-01-01,2022,1,R30,COSTURAS VARIAS,Tijera,Tijera 09 Pulgadas Caja 12 Tijeras,TIJERA09,UN,4.0,2022,1,1,5
2022-01-01,2022,1,R30,COSTURAS VARIAS,Garbea Papel,Garbea Papel 04cm Bolsa 72un c-011,GARBEA04BC011,UN,2.0,2022,1,1,5
2022-01-01,2022,1,R30,COSTURAS VARIAS,Aguja Sharps,Aguja Sharps 20un Hand Sewing 100/CJ  0340-0054,AGU20SHARPSHS,UN,5.0,2022,1,1,5
2022-01-01,2022,1,R30,COSTURAS VARIAS,Rococo Mediano Bolsa,Rococo Mediano Bolsa 100un c004,ROCOCOR7004,UN,6.0,2022,1,1,5
2022-01-01,2022,1,R30,COSTURAS VARIAS,Tijera Escolar,Tijera Escolar 5 Pulgadas Caja 12un 0330-6201,TIJERAESCO5PU,UN,9.0,2022,1,1,5
2022-01-01,2022,1,R30,COSTURAS VARIAS,Cala Eva,Cala Eva 2.8cm Bolsa 144un c-005,EVACALA28B005,UN,1.0,2022,1,1,5
2022-01-01,2022,1,R30,COSTURAS VARIAS,Rosa Eva Bolsa,Rosa Eva 2.0cm Bolsa 144un c-006,EVAROSA20B006,UN,8.0,2022,1,1,5
2022-01-01,2022,1,R30,COSTURAS VARIAS,Besitos,Besitos 1.0 cm 144un Marfil hojas verdes c042,BESITOS10B042,UN,4.0,2022,1,1,5
2022-01-01,2022,1,R30,COSTURAS VARIAS,Garbea Papel,Garbea Papel 04cm Bolsa 72un c-010,GARBEA04BC010,UN,9.0,2022,1,1,5
2022-01-01,2022,1,R30,COSTURAS VARIAS,Aguja Quilting,AGUJA QUILTING 16UN 5/10 OJO DO 50UN/CJ 0340-0004,AGU1605NUODOR,UN,1.0,2022,1,1,5
2022-01-01,2022,1,R30,COSTURAS VARIAS,Parche Bolsa PATCH,Parche Bolsa 10un 7.0 x 7.2cm PATCH-127,PATCH-127,UN,4.0,2022,1,1,5
2022-01-01,2022,1,R30,COSTURAS VARIAS,Rosa Eva Bolsa,Rosa Eva 2.0cm Bolsa 144un c-004,EVAROSA20B004,UN,13.0,2022,1,1,5
2022-01-01,2022,1,R30,COSTURAS VARIAS,Primavera Bicolor Papel Bolsa,Primavera Bicolor Papel 1.5cm Bolsa 144un c-008,PRIBICO15B008,UN,8.0,2022,1,1,5
2022-01-01,2022,1,R30,COSTURAS VARIAS,Parche Bolsa PATCH,Parche Bolsa 10un 18.5 cm PATCH-A4,PATCH-A4,UN,4.0,2022,1,1,5
