Date,Año,Mes,RUPR,Super Familia,Familia,Descripción Producto,Product_Code,unidad,Sales,Year,Month,Quarter,DayOfWeek
2022-01-01,2022,1,R30,ELASTICOS & VELCRO,Cordón Elastico Rollo,Cordon Elastico Rollo 100M 2.0mm Blanco 0370-1200,CORELAR320BCO,UN,10.0,2022,1,1,5
2022-01-01,2022,1,R30,ELASTICOS & VELCRO,Cordón Elastico Rollo,Cordon Elastico Rollo 100M 2.0mm Negro 0370-1200,CORELAR320NGO,UN,12.0,2022,1,1,5
2022-01-01,2022,1,R30,ELASTICOS & VELCRO,Cordón Elastico Rollo,Cordon Elastico Rollo 100M 3.0mm Negro 0370-1300,CORELAR330NGO,UN,25.0,2022,1,1,5
2022-01-01,2022,1,R30,ELASTICOS & VELCRO,Cordón Elastico Rollo,Cordon Elastico Rollo 100M 3.0mm Blanco 0370-1300,CORELAR330BCO,UN,26.0,2022,1,1,5
2022-01-01,2022,1,R30,ELASTICOS & VELCRO,Cordón Metálico Sin Elástico,Cordon Metal.S/Elast.1.0mm 100M 1UN 0371-1016 Gold,CORMET10MMSIN,UN,10.0,2022,1,1,5
2022-01-01,2022,1,R30,ELASTICOS & VELCRO,Velcro Autoadhesivo Rollo,Velcro Autoadhesivo Rollo 25M Ancho 20mm c001,VELCROAA20001,UN,64.0,2022,1,1,5
2022-01-01,2022,1,R30,ELASTICOS & VELCRO,Elástico 10 piezas,Elastico 10 piezas de 10mts 12mm Negro 0140-0125,ELASTI10M12NG,UN,6.0,2022,1,1,5
2022-01-01,2022,1,R30,ELASTICOS & VELCRO,Elástico 10 piezas,Elastico 10 piezas de 10mts 16mm Blanco 6121-0068,ELASTI10M16BC,UN,9.0,2022,1,1,5
2022-01-01,2022,1,R30,ELASTICOS & VELCRO,Elástico 10 piezas,Elastico 10 piezas de 10mts 16mm Negro 6121-0068,ELASTI10M16NG,UN,1.0,2022,1,1,5
2022-01-01,2022,1,R30,ELASTICOS & VELCRO,Velcro Rollo,Velcro Rollo 25 Metros Ancho 20 mm c001,VELCROR120001,UN,1.0,2022,1,1,5
2022-01-01,2022,1,R30,ELASTICOS & VELCRO,Velcro Autoadhesivo Rollo,Velcro Autoadhesivo Rollo 25M Ancho 20mm c002,VELCROAA20002,UN,30.0,2022,1,1,5
2022-01-01,2022,1,R30,ELASTICOS & VELCRO,Elástico Pretina Rollo,Elastico Pretina Rollo 50M 25mm Blanco 0141-1250,ELAPRER225BCO,UN,13.0,2022,1,1,5
2022-01-01,2022,1,R30,ELASTICOS & VELCRO,Elástico Pretina Rollo,Elastico Pretina Rollo 50M 25mm Negro 0141-1253,ELAPRER225NGO,UN,9.0,2022,1,1,5
2022-01-01,2022,1,R30,ELASTICOS & VELCRO,Elástico Pretina Rollo,Elastico Pretina Rollo 50M 30mm Blanco 0141-1305,ELAPRER230BCO,UN,38.0,2022,1,1,5
2022-01-01,2022,1,R30,ELASTICOS & VELCRO,Elástico Pretina Rollo,Elastico Pretina Rollo 50M 30mm Negro 0141-1300,ELAPRER230NGO,UN,24.0,2022,1,1,5
2022-01-01,2022,1,R30,ELASTICOS & VELCRO,Elástico Plano Rollo,Elastico Plano Rollo 100 Metros 12mm c002,ELAPLAR312002,UN,11.0,2022,1,1,5
2022-01-01,2022,1,R30,ELASTICOS & VELCRO,Elástico Plano Rollo,Elastico Plano Rollo 100 Mts 16mm c003,ELAPLAR516003,UN,2.0,2022,1,1,5
2022-01-01,2022,1,R30,ELASTICOS & VELCRO,Elástico Pretina Rollo,Elastico Pretina Rollo 50M 20mm Blanco 0141-1200,ELAPRER220BCO,UN,27.0,2022,1,1,5
2022-01-01,2022,1,R30,ELASTICOS & VELCRO,Elástico Pretina Rollo,Elastico Pretina Rollo 50M 20mm Negro 0141-1200,ELAPRER220NGO,UN,24.0,2022,1,1,5
2022-01-01,2022,1,R30,ELASTICOS & VELCRO,Elástico Plano Rollo,Elastico Plano Rollo 100 Mts 16mm c001,ELAPLAR516001,UN,2.0,2022,1,1,5
2022-01-01,2022,1,R30,ELASTICOS & VELCRO,Elástico 10 piezas,Elastico 10 piezas de 10mts 08mm Blanco 0140-0085,ELASTI10M08BC,UN,17.0,2022,1,1,5
2022-01-01,2022,1,R30,ELASTICOS & VELCRO,Elástico 10 piezas,Elastico 10 piezas de 10mts 10mm Blanco 0140-0105,ELASTI10M10BC,UN,33.0,2022,1,1,5
2022-01-01,2022,1,R30,ELASTICOS & VELCRO,Elástico 10 piezas,Elastico 10 piezas de 10mts 12mm Blanco 0140-0125,ELASTI10M12BC,UN,9.0,2022,1,1,5
2022-01-01,2022,1,R30,ELASTICOS & VELCRO,Elástico 10 piezas,Elastico 10 piezas de 10mts 08mm Negra 0140-0085,ELASTI10M08MM,UN,8.0,2022,1,1,5
2022-01-01,2022,1,R30,ELASTICOS & VELCRO,Elástico Pretina Rollo,Elastico Pretina Rollo 50M 50mm Blanco,ELAPRER250BCO,UN,25.0,2022,1,1,5
2022-01-01,2022,1,R30,ELASTICOS & VELCRO,Elástico Pretina Rollo,Elastico Pretina Rollo 50M 50mm Negro,ELAPRER250NGO,UN,34.0,2022,1,1,5
2022-01-01,2022,1,R30,ELASTICOS & VELCRO,Elástico 10 piezas,Elastico 10 piezas de 10mts 04mm Blanco 0140-0052,ELASTI10M04BC,UN,7.0,2022,1,1,5
