Date,Año,Mes,RUPR,Super Familia,Familia,Descripción Producto,Product_Code,unidad,Sales,Year,Month,Quarter,DayOfWeek
2022-01-01,2022,1,R30,ENCAJE PASAMANERIA & BLONDAS,Bolillo,Bolillo SK015 2.5CM  CRU,BOLI0SK015CRU,UN,36.0,2022,1,1,5
2022-01-01,2022,1,R30,ENCAJE PASAMANERIA & BLONDAS,Pasamanería Trenzada,Pasamaneria Trenzada 15mm c020,CINRIB15MM020,UN,12.0,2022,1,1,5
2022-01-01,2022,1,R30,ENCAJE PASAMANERIA & BLONDAS,Macramé Girasol,Macrame Girasol 2.5cm c-001,MACGIR25CM001,UN,35.0,2022,1,1,5
2022-01-01,2022,1,R30,ENCAJE PASAMANERIA & BLONDAS,Pasamanería Oro,Pasamaneria Oro 05mm 20Mts G26,PASAMORO05MM2,UN,21.0,2022,1,1,5
2022-01-01,2022,1,R30,ENCAJE PASAMANERIA & BLONDAS,Encaje Rollo,Encaje Rollo 400Ydas 2.0cm 171,ROLLOBORDA171,UN,12.0,2022,1,1,5
2022-01-01,2022,1,R30,ENCAJE PASAMANERIA & BLONDAS,Pasamanería Oro,Pasamaneria Oro 05mm 20Mts G25,PASAMORO05MM,UN,21.0,2022,1,1,5
2022-01-01,2022,1,R30,ENCAJE PASAMANERIA & BLONDAS,Tull Metálico Rollo,TULL METALICO 15CM ROLLO 25Y LTRGS C001,TULLTRGS00001,UN,28.0,2022,1,1,5
2022-01-01,2022,1,R30,ENCAJE PASAMANERIA & BLONDAS,Macramé Girasol,Macrame Girasol 1.3cm c-999,MACGIR13CM999,UN,16.0,2022,1,1,5
2022-01-01,2022,1,R30,ENCAJE PASAMANERIA & BLONDAS,Macramé Blanco Rollo,Macrame Blanco 7cm 623 Rollo 15yds,MACRAMELT7623,UN,11.0,2022,1,1,5
2022-01-01,2022,1,R30,ENCAJE PASAMANERIA & BLONDAS,Tull Metálico Rollo,TULL METALICO 15CM ROLLO 25Y LTRGS C003,TULLTRGS00003,UN,21.0,2022,1,1,5
2022-01-01,2022,1,R30,ENCAJE PASAMANERIA & BLONDAS,Encaje Rollo,Encaje Rollo 200Ydas 4.3cm LF4130,ROLLOBORDA130,UN,4.0,2022,1,1,5
2022-01-01,2022,1,R30,ENCAJE PASAMANERIA & BLONDAS,Tull Metálico Rollo,TULL METALICO 15CM ROLLO 25Y LTRGS C002,TULLTRGS00002,UN,16.0,2022,1,1,5
2022-01-01,2022,1,R30,ENCAJE PASAMANERIA & BLONDAS,Pasamanería Trenzada,Pasamaneria Trenzada 08mm c016,CINRIB08MM016,UN,2.0,2022,1,1,5
