Date,Año,Mes,RUPR,Super Familia,Familia,Descripción Producto,Product_Code,unidad,Sales,Year,Month,Quarter,DayOfWeek
2022-01-01,2022,1,R10,HILOS VERANO,Perle Verano,Perle Verano 100% 100g c0032,1310ANV010032,KG,11.0,2022,1,1,5
2022-01-01,2022,1,R10,HILOS VERANO,Perle Verano,Perle Verano 100% 100g c8102,1310ANV018102,KG,26.0,2022,1,1,5
2022-01-01,2022,1,R10,HILOS VERANO,Fresquita Estampado,Fresquita Est Verano 100% 100g c0005,1305ANV010005,KG,12.0,2022,1,1,5
2022-01-01,2022,1,R10,HILOS VERANO,Fresquita,Fresquita Verano 100% 100g c1281,1300ANV011281,KG,8.0,2022,1,1,5
2022-01-01,2022,1,R10,HILOS VERANO,Perle Verano,Perle Verano 100% 100g c0425,1310ANV010425,KG,9.0,2022,1,1,5
2022-01-01,2022,1,R10,HILOS VERANO,Perle Verano,Perle Verano 100% 100g c0439,1310ANV010439,KG,12.0,2022,1,1,5
2022-01-01,2022,1,R10,HILOS VERANO,Fresquita Estampado,Fresquita Est Verano 100% 100g c0007,1305ANV010007,KG,6.0,2022,1,1,5
2022-01-01,2022,1,R10,HILOS VERANO,Perle Verano,Perle Verano 100% 100g c0029,1310ANV010029,KG,10.0,2022,1,1,5
2022-01-01,2022,1,R10,HILOS VERANO,Fresquita Estampado,Fresquita Est Verano 100% 100g c0006,1305ANV010006,KG,9.0,2022,1,1,5
2022-01-01,2022,1,R10,HILOS VERANO,Fresquita,Fresquita Verano 100% 100g c1102,1300ANV011102,KG,231.0,2022,1,1,5
2022-01-01,2022,1,R10,HILOS VERANO,Fresquita,Fresquita Verano 100% 100g c1777,1300ANV011777,KG,10.0,2022,1,1,5
2022-01-01,2022,1,R10,HILOS VERANO,Fresquita,Fresquita Verano 100% 100g c1788,1300ANV011788,KG,10.0,2022,1,1,5
2022-01-01,2022,1,R10,HILOS VERANO,Perle Verano,Perle Verano 100% 100g c0081,1310ANV010081,KG,17.0,2022,1,1,5
2022-01-01,2022,1,R10,HILOS VERANO,Fresquita Estampado,Fresquita Est Verano 100% 100g c0002,1305ANV010002,KG,8.0,2022,1,1,5
