Date,Año,Mes,RUPR,Super Familia,Familia,Descripción Producto,Product_Code,unidad,Sales,Year,Month,Quarter,DayOfWeek
2022-01-01,2022,1,R10,INVIERNO,Ukryl Etiqueta Dorada,Ukryl Acri Inv 100% 100g Etiq.Dorada c5102,1100AN1015102,KG,70.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Krehuel,Krehuel Acri Inv 100% 50g c0027,1123AN1050027,KG,11.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Krehuel,Krehuel Acri Inv 100% 50g c0026,1123AN1050026,KG,13.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Ukryl Etiqueta Dorada,Ukryl Acri Inv 100% 100g Etiq.Dorada c5204,1100AN1015204,KG,103.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Krehuel,Krehuel Acri Inv 100% 50g c0025,1123AN1050025,KG,4.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Nako Melange,Nako Melange 100% Acr Premium 100g c0099,5614IM0D10099,KG,15.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Krehuel,Krehuel Acri Inv 100% 50g c0030,1123AN1050030,KG,11.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Ukryl Etiqueta Dorada,Ukryl Acri Inv 100% 100g Etiq.Dorada c5029,1100AN1015029,KG,31.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Ukryl Etiqueta Dorada,Ukryl Acri Inv 100% 100g Etiq.Dorada c5033,1100AN1015033,KG,6.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Ukryl Etiqueta Dorada,Ukryl Acri Inv 100% 100g Etiq.Dorada c5032,1100AN1015032,KG,73.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Krehuel,Krehuel Acri Inv 100% 50g c0028,1123AN1050028,KG,11.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Ukryl Etiqueta Dorada,Ukryl Acri Inv 100% 100g Etiq.Dorada c6202,1100AN1016202,KG,68.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Krehuel,Krehuel Acri Inv 100% 50g c0023,1123AN1050023,KG,10.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Krehuel,Krehuel Acri Inv 100% 50g c0020,1123AN1050020,KG,16.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Krehuel,Krehuel Acri Inv 100% 50g c0022,1123AN1050022,KG,6.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Ukryl Etiqueta Dorada,Ukryl Acri Inv 100% 100g Etiq.Dorada c6402,1100AN1016402,KG,82.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Krehuel,Krehuel Acri Inv 100% 50g c0024,1123AN1050024,KG,12.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Ukryl Etiqueta Dorada,Ukryl Acri Inv 100% 100g Etiq.Dorada c5302,1100AN1015302,KG,63.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Ukryl Etiqueta Dorada,Ukryl Acri Inv 100% 100g Etiq.Dorada c5502,1100AN1015502,KG,93.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Nako Melange,Nako Melange 100% Acr Premium 100g c0098,5614IM0D10098,KG,24.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Ukryl Etiqueta Dorada,Ukryl Acri Inv 100% 100g Etiq.Dorada c3202,1100AN1013202,KG,65.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Bonbon Classic,Bonbon Classic 100% Acrilico 100g c8209,5248IM0108209,KG,45.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Super Económico 50g,50 gramos Super Economico 100%  c0811,1153AN0T50811,KG,7.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Bonbon Classic,Bonbon Classic 100% Acrilico 100g c8211,5248IM0108211,KG,50.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Super Económico 50g,50 gramos Super Economico 100%  c0807,1153AN0T50807,KG,1.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Super Económico 50g,50 gramos Super Economico 100%  c0772,1153AN0T50772,KG,11.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Super Económico 50g,50 gramos Super Economico 100%  c0769,1153AN0T50769,KG,4.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Krehuel,Krehuel Acri Inv 100% 50g c0888,1123AN1050888,KG,11.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Super Económico 50g,50 gramos Super Economico 100%  c0829,1153AN0T50829,KG,6.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Super Económico 50g,50 gramos Super Economico 100%  c1302,1153AN0T51302,KG,1.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Krehuel,Krehuel Acri Inv 100% 50g c0831,1123AN1050831,KG,15.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Ukryl Etiqueta Dorada,Ukryl Acri Inv 100% 100g Etiq.Dorada c3602,1100AN1013602,KG,219.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Bonbon Classic,Bonbon Classic 100% Acrilico 100g c8204,5248IM0108204,KG,31.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Super Económico 50g,50 gramos Super Economico 100%  c1102,1153AN0T51102,KG,6.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Bonbon Classic,Bonbon Classic 100% Acrilico 100g c8206,5248IM0108206,KG,80.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Bonbon Classic,Bonbon Classic 100% Acrilico 100g c8207,5248IM0108207,KG,11.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Bonbon Classic,Bonbon Classic 100% Acrilico 100g c8219,5248IM0108219,KG,42.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Ukryl Etiqueta Dorada,Ukryl Acri Inv 100% 100g Etiq.Dorada c3102,1100AN1013102,KG,86.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Super Económico 50g,50 gramos Super Economico 100% c0041,1153AN0T50041,KG,1.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Bonbon Classic,Bonbon Classic 100% Acrilico 100g c8226,5248IM0108226,KG,47.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Bonbon Classic,Bonbon Classic 100% Acrilico 100g c8236,5248IM0108236,KG,6.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Ukryl Etiqueta Dorada,Ukryl Acri Inv 100% 100g Etiq.Dorada c2302,1100AN1012302,KG,98.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Bonbon Classic,Bonbon Classic 100% Acrilico 100g c8237,5248IM0108237,KG,51.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Krehuel,Krehuel Acri Inv 100% 50g c3602,1123AN1053602,KG,18.0,2022,1,1,5
2022-01-01,2022,1,R10,INVIERNO,Super Económico 50g,50 gramos Super Economico 100%  c0425,1153AN0T50425,KG,2.0,2022,1,1,5
