Date,Año,Mes,RUPR,Super Familia,Familia,Descripción Producto,Product_Code,unidad,Sales,Year,Month,Quarter,DayOfWeek
2022-01-01,2022,1,R30,NAVIDAD,Cinta Arpillera Encaje Rollo,Cinta Arpillera Encaje Rollo 10 Metros 25mm c202,CINARPRB25202,UN,15.0,2022,1,1,5
2022-01-01,2022,1,R30,NAVIDAD,Borla Navidad,Borla Navidad 2.0 cm Pieza 20 Metros c021,BORLARNAVC021,UN,1.0,2022,1,1,5
2022-01-01,2022,1,R30,NAVIDAD,Borla Fleco Navidad,Borla Fleco Navidad  Pieza 20 Metros c041,BORLARFLEC041,UN,1.0,2022,1,1,5
2022-02-01,2022,2,R30,NAVIDAD,Cinta Arpillera Encaje Rollo,Cinta Arpillera Encaje Rollo 10 Metros 25mm c202,CINARPRB25202,UN,31.0,2022,2,1,1
2022-03-01,2022,3,R30,NAVIDAD,Borla Fleco Navidad,Borla Fleco Navidad  Pieza 20 Metros c041,BORLARFLEC041,UN,3.0,2022,3,1,1
2022-03-01,2022,3,R30,NAVIDAD,Cinta Arpillera Encaje Rollo,Cinta Arpillera Encaje Rollo 10 Metros 25mm c202,CINARPRB25202,UN,9.0,2022,3,1,1
2022-04-01,2022,4,R30,NAVIDAD,Cinta Arpillera Encaje Rollo,Cinta Arpillera Encaje Rollo 10 Metros 25mm c202,CINARPRB25202,UN,4.0,2022,4,2,4
2022-04-01,2022,4,R30,NAVIDAD,Borla Fleco Navidad,Borla Fleco Navidad  Pieza 20 Metros c041,BORLARFLEC041,UN,1.0,2022,4,2,4
2022-04-01,2022,4,R30,NAVIDAD,Borla Navidad,Borla Navidad 2.0 cm Pieza 20 Metros c021,BORLARNAVC021,UN,6.0,2022,4,2,4
2022-05-01,2022,5,R30,NAVIDAD,Borla Fleco Navidad,Borla Fleco Navidad  Pieza 20 Metros c041,BORLARFLEC041,UN,4.0,2022,5,2,6
2022-05-01,2022,5,R30,NAVIDAD,Cinta Arpillera Encaje Rollo,Cinta Arpillera Encaje Rollo 10 Metros 25mm c202,CINARPRB25202,UN,3.0,2022,5,2,6
2022-06-01,2022,6,R30,NAVIDAD,Borla Navidad,Borla Navidad 2.0 cm Pieza 20 Metros c021,BORLARNAVC021,UN,6.0,2022,6,2,2
2022-06-01,2022,6,R30,NAVIDAD,Cinta Arpillera Encaje Rollo,Cinta Arpillera Encaje Rollo 10 Metros 25mm c202,CINARPRB25202,UN,31.0,2022,6,2,2
2022-07-01,2022,7,R30,NAVIDAD,Borla Navidad,Borla Navidad 2.0 cm Pieza 20 Metros c021,BORLARNAVC021,UN,28.0,2022,7,3,4
2022-07-01,2022,7,R30,NAVIDAD,Borla Fleco Navidad,Borla Fleco Navidad  Pieza 20 Metros c041,BORLARFLEC041,UN,5.0,2022,7,3,4
2022-07-01,2022,7,R30,NAVIDAD,Cinta Arpillera Encaje Rollo,Cinta Arpillera Encaje Rollo 10 Metros 25mm c202,CINARPRB25202,UN,8.0,2022,7,3,4
2022-08-01,2022,8,R30,NAVIDAD,Borla Navidad,Borla Navidad 2.0 cm Pieza 20 Metros c021,BORLARNAVC021,UN,21.0,2022,8,3,0
2022-08-01,2022,8,R30,NAVIDAD,Cinta Arpillera Encaje Rollo,Cinta Arpillera Encaje Rollo 10 Metros 25mm c202,CINARPRB25202,UN,19.0,2022,8,3,0
2022-08-01,2022,8,R30,NAVIDAD,Borla Fleco Navidad,Borla Fleco Navidad  Pieza 20 Metros c041,BORLARFLEC041,UN,5.0,2022,8,3,0
2022-09-01,2022,9,R30,NAVIDAD,Borla Fleco Navidad,Borla Fleco Navidad  Pieza 20 Metros c041,BORLARFLEC041,UN,27.0,2022,9,3,3
2022-09-01,2022,9,R30,NAVIDAD,Borla Navidad,Borla Navidad 2.0 cm Pieza 20 Metros c021,BORLARNAVC021,UN,45.0,2022,9,3,3
2022-09-01,2022,9,R30,NAVIDAD,Cinta Arpillera Encaje Rollo,Cinta Arpillera Encaje Rollo 10 Metros 25mm c202,CINARPRB25202,UN,26.0,2022,9,3,3
2022-10-01,2022,10,R30,NAVIDAD,Borla Navidad,Borla Navidad 2.0 cm Pieza 20 Metros c021,BORLARNAVC021,UN,36.0,2022,10,4,5
2022-10-01,2022,10,R30,NAVIDAD,Borla Fleco Navidad,Borla Fleco Navidad  Pieza 20 Metros c041,BORLARFLEC041,UN,15.0,2022,10,4,5
2022-10-01,2022,10,R30,NAVIDAD,Borla Fleco Navidad,Borla Fleco Navidad  Pieza 20 Metros c041,BORLARFLEC041,UN,4.0,2022,10,4,5
2022-10-01,2022,10,R30,NAVIDAD,Cinta Arpillera Encaje Rollo,Cinta Arpillera Encaje Rollo 10 Metros 25mm c202,CINARPRB25202,UN,43.0,2022,10,4,5
2022-11-01,2022,11,R30,NAVIDAD,Cinta Arpillera Encaje Rollo,Cinta Arpillera Encaje Rollo 10 Metros 25mm c202,CINARPRB25202,UN,7.0,2022,11,4,1
2022-11-01,2022,11,R30,NAVIDAD,Borla Navidad,Borla Navidad 2.0 cm Pieza 20 Metros c021,BORLARNAVC021,UN,16.0,2022,11,4,1
2022-11-01,2022,11,R30,NAVIDAD,Borla Fleco Navidad,Borla Fleco Navidad  Pieza 20 Metros c041,BORLARFLEC041,UN,8.0,2022,11,4,1
2022-12-01,2022,12,R30,NAVIDAD,Cinta Arpillera Encaje Rollo,Cinta Arpillera Encaje Rollo 10 Metros 25mm c202,CINARPRB25202,UN,16.0,2022,12,4,3
2022-12-01,2022,12,R30,NAVIDAD,Borla Navidad,Borla Navidad 2.0 cm Pieza 20 Metros c021,BORLARNAVC021,UN,3.0,2022,12,4,3
2022-12-01,2022,12,R30,NAVIDAD,Borla Fleco Navidad,Borla Fleco Navidad  Pieza 20 Metros c041,BORLARFLEC041,UN,2.0,2022,12,4,3
2023-02-01,2023,2,R30,NAVIDAD,Borla Fleco Navidad,Borla Fleco Navidad  Pieza 20 Metros c041,BORLARFLEC041,UN,1.0,2023,2,1,2
2023-03-01,2023,3,R30,NAVIDAD,Cinta Arpillera Encaje Rollo,Cinta Arpillera Encaje Rollo 10 Metros 25mm c202,CINARPRB25202,UN,18.0,2023,3,1,2
2023-03-01,2023,3,R30,NAVIDAD,Borla Fleco Navidad,Borla Fleco Navidad  Pieza 20 Metros c041,BORLARFLEC041,UN,5.0,2023,3,1,2
2023-03-01,2023,3,R30,NAVIDAD,Borla Navidad,Borla Navidad 2.0 cm Pieza 20 Metros c021,BORLARNAVC021,UN,6.0,2023,3,1,2
2023-04-01,2023,4,R30,NAVIDAD,Cinta Arpillera Encaje Rollo,Cinta Arpillera Encaje Rollo 10 Metros 25mm c202,CINARPRB25202,UN,10.0,2023,4,2,5
2023-05-01,2023,5,R30,NAVIDAD,Cinta Arpillera Encaje Rollo,Cinta Arpillera Encaje Rollo 10 Metros 25mm c202,CINARPRB25202,UN,8.0,2023,5,2,0
2023-05-01,2023,5,R30,NAVIDAD,Borla Fleco Navidad,Borla Fleco Navidad  Pieza 20 Metros c041,BORLARFLEC041,UN,2.0,2023,5,2,0
2023-06-01,2023,6,R30,NAVIDAD,Borla Fleco Navidad,Borla Fleco Navidad  Pieza 20 Metros c041,BORLARFLEC041,UN,2.0,2023,6,2,3
2023-06-01,2023,6,R30,NAVIDAD,Cinta Arpillera Encaje Rollo,Cinta Arpillera Encaje Rollo 10 Metros 25mm c202,CINARPRB25202,UN,5.0,2023,6,2,3
2023-07-01,2023,7,R30,NAVIDAD,Borla Fleco Navidad,Borla Fleco Navidad  Pieza 20 Metros c041,BORLARFLEC041,UN,2.0,2023,7,3,5
2023-07-01,2023,7,R30,NAVIDAD,Borla Navidad,Borla Navidad 2.0 cm Pieza 20 Metros c021,BORLARNAVC021,UN,8.0,2023,7,3,5
2023-07-01,2023,7,R30,NAVIDAD,Cinta Arpillera Encaje Rollo,Cinta Arpillera Encaje Rollo 10 Metros 25mm c202,CINARPRB25202,UN,6.0,2023,7,3,5
2023-08-01,2023,8,R30,NAVIDAD,Cinta Arpillera Encaje Rollo,Cinta Arpillera Encaje Rollo 10 Metros 25mm c202,CINARPRB25202,UN,4.0,2023,8,3,1
2023-08-01,2023,8,R30,NAVIDAD,Borla Navidad,Borla Navidad 2.0 cm Pieza 20 Metros c021,BORLARNAVC021,UN,2.0,2023,8,3,1
2023-08-01,2023,8,R30,NAVIDAD,Borla Fleco Navidad,Borla Fleco Navidad  Pieza 20 Metros c041,BORLARFLEC041,UN,2.0,2023,8,3,1
2023-09-01,2023,9,R30,NAVIDAD,Borla Fleco Navidad,Borla Fleco Navidad  Pieza 20 Metros c041,BORLARFLEC041,UN,6.0,2023,9,3,4
2023-09-01,2023,9,R30,NAVIDAD,Borla Navidad,Borla Navidad 2.0 cm Pieza 20 Metros c021,BORLARNAVC021,UN,7.0,2023,9,3,4
2023-10-01,2023,10,R30,NAVIDAD,Cinta Arpillera Color Rollo,Cinta Arpillera Color Rollo 10m 60mm c001,CINARCRB60001,UN,37.0,2023,10,4,6
2023-10-01,2023,10,R30,NAVIDAD,Cinta Arpillera Color Rollo,Cinta Arpillera Color Rollo 10m 60mm c002,CINARCRB60002,UN,23.0,2023,10,4,6
2023-10-01,2023,10,R30,NAVIDAD,Cinta Arpillera Color Rollo,Cinta Arpillera Color Rollo 10m 60mm c003,CINARCRB60003,UN,30.0,2023,10,4,6
2023-10-01,2023,10,R30,NAVIDAD,Cinta Arpillera Color Rollo,Cinta Arpillera Color Rollo 10m 60mm c004,CINARCRB60004,UN,24.0,2023,10,4,6
2023-10-01,2023,10,R30,NAVIDAD,Cinta Arpillera Color Rollo,Cinta Arpillera Color Rollo 10m 60mm c005,CINARCRB60005,UN,26.0,2023,10,4,6
2023-10-01,2023,10,R30,NAVIDAD,Cinta Arpillera Color Rollo,Cinta Arpillera Color Rollo 10m 60mm c006,CINARCRB60006,UN,23.0,2023,10,4,6
2023-10-01,2023,10,R30,NAVIDAD,Cinta Arpillera Color Rollo,Cinta Arpillera Color Rollo 10m 60mm c007,CINARCRB60007,UN,22.0,2023,10,4,6
2023-10-01,2023,10,R30,NAVIDAD,Cinta Arpillera Color Rollo,Cinta Arpillera Color Rollo 10m 60mm c010,CINARCRB60010,UN,39.0,2023,10,4,6
2023-10-01,2023,10,R30,NAVIDAD,Cinta Arpillera Navidad,Cinta Arpillera Rollo 25ydas 25mm TW022,CARPRA25TW022,UN,56.0,2023,10,4,6
2023-10-01,2023,10,R30,NAVIDAD,Cinta Arpillera Navidad,Cinta Arpillera Rollo 50ydas 38mm TW021,CARPRA38TW021,UN,73.0,2023,10,4,6
2023-10-01,2023,10,R30,NAVIDAD,Cinta Arpillera Navidad,Cinta Arpillera Rollo 50ydas 60mm T091,CARPRA60T0091,UN,35.0,2023,10,4,6
2023-10-01,2023,10,R30,NAVIDAD,Cinta Arpillera Navidad,Cinta Arpillera Rollo 50ydas 60mm T092,CARPRA60T0092,UN,55.0,2023,10,4,6
2023-10-01,2023,10,R30,NAVIDAD,Cinta Arpillera Navidad,Cinta Arpillera Rollo 50ydas 63mm TW023,CARPRA63TW023,UN,51.0,2023,10,4,6
2023-10-01,2023,10,R30,NAVIDAD,Cinta Arpillera Navidad,Cinta Arpillera Rollo 50ydas 63mm TW025,CARPRA63TW025,UN,51.0,2023,10,4,6
2023-10-01,2023,10,R30,NAVIDAD,Cinta Arpillera Navidad,Cinta Arpillera Rollo 50ydas 63mm TW059,CARPRA63TW059,UN,67.0,2023,10,4,6
2023-10-01,2023,10,R30,NAVIDAD,Cinta Arpillera Navidad,Cinta Arpillera Rollo 50ydas 60mm T095,CARPRA60T0093,UN,37.0,2023,10,4,6
2023-10-01,2023,10,R30,NAVIDAD,Cinta Arpillera Decorativa Rollo,Cinta Arpillera Decorativa Rollo 2m 60mm c001,CINARDRE60001,UN,13.0,2023,10,4,6
2023-10-01,2023,10,R30,NAVIDAD,Cinta Arpillera Encaje Rollo,Cinta Arpillera Encaje Rollo 10 Metros 25mm c202,CINARPRB25202,UN,25.0,2023,10,4,6
2023-10-01,2023,10,R30,NAVIDAD,Cinta Arpillera Decorativa Rollo,Cinta Arpillera Decorativa Rollo 2m 60mm c002,CINARDRE60002,UN,13.0,2023,10,4,6
