Date,Año,Mes,RUPR,Super Familia,Familia,Descripción Producto,Product_Code,unidad,Sales,Year,Month,Quarter,DayOfWeek
2022-03-01,2022,3,R10,PALACIO,Nahir Tes 100% 100g,Nahir Tes 100% 100g c6702,1138PAT016702,KG,196.4,2022,3,1,1
2022-03-01,2022,3,R10,PALACIO,Nahir Tes 100% 100g,Nahir Tes 100% 100g c8902,1138PAT018902,KG,455.2,2022,3,1,1
2022-03-01,2022,3,R10,PALACIO,Nahir Tes 100% 100g,Nahir Tes 100% 100g c0073,1138PAT010073,KG,289.1,2022,3,1,1
2022-03-01,2022,3,R10,PALACIO,Nahir Tes 100% 100g,Nahir Tes 100% 100g c0735,1138PAT010735,KG,224.0,2022,3,1,1
2022-11-01,2022,11,R10,PALACIO,Nomico 50 Acri Inv 1,Nomico 50 Acri Inv 100% 50g c7902,1101PA1057902,KG,20.0,2022,11,4,1
2022-11-01,2022,11,R10,PALACIO,Nomico 50 Acri Inv 1,Nomico 50 Acri Inv 100% 50g c6890,1101PA1056890,KG,20.0,2022,11,4,1
2022-11-01,2022,11,R10,PALACIO,Perle 4 Est Verano,Perle 4 Est Verano 100% 100g c8102,1311PAV018102,KG,31.6,2022,11,4,1
2023-02-01,2023,2,R10,PALACIO,Perle 4 Est Verano,Perle 4 Est Verano 100% 100g c8102,1311PAV018102,KG,52.9,2023,2,1,2
2023-02-01,2023,2,R10,PALACIO,Perle 4 Est Verano,Perle 4 Est Verano 100% 100g c0289,1311PAV010289,KG,53.4,2023,2,1,2
2023-04-01,2023,4,R10,PALACIO,Nomico 100 Acri Inv,Nomico 100 Acri Inv 100% 100g c2903,1102PA1012903,KG,20.0,2023,4,2,5
2023-04-01,2023,4,R10,PALACIO,Nomico 100 Acri Inv,Nomico 100 Acri Inv 100% 100g c2302,1102PA1012302,KG,28.1,2023,4,2,5
2023-04-01,2023,4,R10,PALACIO,Nomico 100 Acri Inv,Nomico 100 Acri Inv 100% 100g c3916,1102PA1013916,KG,50.0,2023,4,2,5
2023-04-01,2023,4,R10,PALACIO,Nomico 100 Acri Inv,Nomico 100 Acri Inv 100% 100g c4850,1102PA1014850,KG,20.0,2023,4,2,5
