Date,Año,Mes,RUPR,Super Familia,Familia,Descripción Producto,Product_Code,unidad,Sales,Year,Month,Quarter,DayOfWeek
2022-01-01,2022,1,R30,PALILLOS CROCHET MACRAME TELAR,Palillo Bambú Circular,Palillo Bambu Circular 12 UN 80CM 3.5MM,APAL3CID80035,UN,12.0,2022,1,1,5
2022-01-01,2022,1,R30,PALILLOS CROCHET MACRAME TELAR,Palillo Bambú Klein,Palillo Bambu Klein 12 UN 35CM 6.0MM,APAL3KLD35060,UN,17.0,2022,1,1,5
2022-01-01,2022,1,R30,PALILLOS CROCHET MACRAME TELAR,Palillo Bambú Circular,Palillo Bambu Circular 12 UN 80CM 3.0MM,APAL3CID80030,UN,10.0,2022,1,1,5
2022-01-01,2022,1,R30,PALILLOS CROCHET MACRAME TELAR,Palillo Bambú Klein,Palillo Bambu Klein 12 UN 35CM 6.5MM,APAL3KLD35065,UN,15.0,2022,1,1,5
2022-01-01,2022,1,R30,PALILLOS CROCHET MACRAME TELAR,Crochet Mango Siliconado,Crochet Mango Siliconado 1.0mm 10un 0340-9234,CROMANSIL10MM,UN,59.0,2022,1,1,5
2022-01-01,2022,1,R30,PALILLOS CROCHET MACRAME TELAR,Crochet Mango Siliconado,Crochet Mango Siliconado 8.0mm 10un 0340-9234,CROMANSIL80MM,UN,22.0,2022,1,1,5
2022-01-01,2022,1,R30,PALILLOS CROCHET MACRAME TELAR,Palillo Bambú Klein,Palillo Bambu Klein 12 UN 35CM 5.5CM,APAL3KLD35055,UN,17.0,2022,1,1,5
2022-01-01,2022,1,R30,PALILLOS CROCHET MACRAME TELAR,Palillo Bambú Circular,Palillo Bambu Circular 12 UN 80CM 4.0MM,APAL3CID80040,UN,13.0,2022,1,1,5
2022-01-01,2022,1,R30,PALILLOS CROCHET MACRAME TELAR,Telar en Forma,Telar en Forma S 1un por Caja,TELAREN8,UN,3.0,2022,1,1,5
2022-01-01,2022,1,R30,PALILLOS CROCHET MACRAME TELAR,Palillo Bambú Klein,Palillo Bambu Klein 12 UN 35CM 9.0MM,APAL3KLD35090,UN,3.0,2022,1,1,5
2022-01-01,2022,1,R30,PALILLOS CROCHET MACRAME TELAR,Bastidores Plásticos,Bastidores Plasticos 18cm/07pulgadas Bolsa 10un,BASPLA18CM07P,UN,6.0,2022,1,1,5
2022-01-01,2022,1,R30,PALILLOS CROCHET MACRAME TELAR,Bastidores Plásticos,Bastidores Plasticos 20cm/08pulgadas Bolsa 10un,BASPLA20CM08P,UN,4.0,2022,1,1,5
2022-01-01,2022,1,R30,PALILLOS CROCHET MACRAME TELAR,Crochet Mango Siliconado,Crochet Mango Siliconado 7.0mm 10un 0340-9234,CROMANSIL70MM,UN,24.0,2022,1,1,5
2022-01-01,2022,1,R30,PALILLOS CROCHET MACRAME TELAR,Palillo Bambú Circular,Palillo Bambu Circular 10 UN 80CM 7.0MM,APAL3CI080070,UN,1.0,2022,1,1,5
2022-01-01,2022,1,R30,PALILLOS CROCHET MACRAME TELAR,Palillo Bambú Klein,Palillo Bambu Klein 12 UN 35CM 7.0MM,APAL3KLD35070,UN,13.0,2022,1,1,5
2022-01-01,2022,1,R30,PALILLOS CROCHET MACRAME TELAR,Bastidores Plásticos,Bastidores Plasticos 24.6cm/10pulgadas Bolsa 10un,BASPLA24CM10P,UN,9.0,2022,1,1,5
2022-01-01,2022,1,R30,PALILLOS CROCHET MACRAME TELAR,Bastidores Plásticos,Bastidores Plasticos 27.5cm/11pulgadas Bolsa 10un,BASPLA27CM11P,UN,8.0,2022,1,1,5
2022-01-01,2022,1,R30,PALILLOS CROCHET MACRAME TELAR,Crochet Mango Siliconado,Crochet Mango Siliconado 3.5mm 10un 0340-9234,CROMANSIL35MM,UN,91.0,2022,1,1,5
2022-01-01,2022,1,R30,PALILLOS CROCHET MACRAME TELAR,Palillo Bambú Klein,Palillo Bambu Klein 12 UN 35CM 8.0MM,APAL3KLD35080,UN,13.0,2022,1,1,5
2022-01-01,2022,1,R30,PALILLOS CROCHET MACRAME TELAR,Crochet Mango Siliconado,Crochet Mango Siliconado 0.5mm 10un 0340-9234,CROMANSIL05MM,UN,49.0,2022,1,1,5
2022-01-01,2022,1,R30,PALILLOS CROCHET MACRAME TELAR,Palillo Bambú Circular,Palillo Bambu Circular 12 UN 80CM 6.0MM,APAL3CID80060,UN,7.0,2022,1,1,5
2022-01-01,2022,1,R30,PALILLOS CROCHET MACRAME TELAR,Palillo Bambú Klein,Palillo Bambu Klein 12 UN 35CM 3.5MM,APAL3KLD35035,UN,13.0,2022,1,1,5
