Date,Año,Mes,RUPR,Super Familia,Familia,Descripción Producto,Product_Code,unidad,Sales,Year,Month,Quarter,DayOfWeek
2022-01-01,2022,1,R10,PREMIUM,Imp Astra 100% Acril,Astra 100% Acrilico Premium c00235,5613IM0D10235,KG,11.5,2022,1,1,5
2022-01-01,2022,1,R10,PREMIUM,Imp Astra 100% Acril,Astra 100% Acrilico Premium c00221,5613IM0D10221,KG,23.5,2022,1,1,5
2022-01-01,2022,1,R10,PREMIUM,Imp Astra 100% Acril,Astra 100% Acrilico Premium c00256,5613IM0D10256,KG,16.5,2022,1,1,5
2022-01-01,2022,1,R10,PREMIUM,Fashion Piel 100% Po,Fashion Piel 100% Poliester Microfibra 100g c0083,5241IM0J10083,KG,4.0,2022,1,1,5
2022-01-01,2022,1,R10,PREMIUM,Fashion Piel 100% Po,Fashion Piel 100% Poliester Microfibra 100g c0082,5241IM0J10082,KG,4.0,2022,1,1,5
2022-01-01,2022,1,R10,PREMIUM,Fashion Piel 100% Po,Fashion Piel 100% Poliester Microfibra 100g c0081,5241IM0J10081,KG,3.0,2022,1,1,5
2022-01-01,2022,1,R10,PREMIUM,Fashion Piel 100% Po,Fashion Piel 100% Poliester Microfibra 100g c0095,5241IM0J10095,KG,3.0,2022,1,1,5
2022-01-01,2022,1,R10,PREMIUM,Fashion Piel 100% Po,Fashion Piel 100% Poliester Microfibra 100g c0087,5241IM0J10087,KG,8.0,2022,1,1,5
2022-01-01,2022,1,R10,PREMIUM,Fashion Piel 100% Po,Fashion Piel 100% Poliester Microfibra 100g c0084,5241IM0J10084,KG,6.0,2022,1,1,5
2022-01-01,2022,1,R10,PREMIUM,Fashion Piel 100% Po,Fashion Piel 100% Poliester Microfibra 100g c0018,5241IM0J10018,KG,9.0,2022,1,1,5
2022-01-01,2022,1,R10,PREMIUM,Imp Astra 100% Acril,Astra 100% Acrilico Premium c00217,5613IM0D10217,KG,24.5,2022,1,1,5
2022-01-01,2022,1,R10,PREMIUM,Fashion Piel 100% Po,Fashion Piel 100% Poliester Microfibra 100g c0001,5241IM0J10001,KG,9.0,2022,1,1,5
2022-01-01,2022,1,R10,PREMIUM,Grafitti Acri In,Grafitti Acri Inv 100% 150g c0024,5261IM1040024,BL,23.0,2022,1,1,5
2022-01-01,2022,1,R10,PREMIUM,Imp Astra 100% Acril,Astra 100% Acrilico Premium c00219,5613IM0D10219,KG,18.5,2022,1,1,5
2022-01-01,2022,1,R10,PREMIUM,Imp Astra 100% Acril,Astra 100% Acrilico Premium c01175,5613IM0D11175,KG,21.5,2022,1,1,5
2022-01-01,2022,1,R10,PREMIUM,Imp Astra 100% Acril,Astra 100% Acrilico Premium c01182,5613IM0D11182,KG,14.5,2022,1,1,5
2022-01-01,2022,1,R10,PREMIUM,Imp Astra 100% Acril,Astra 100% Acrilico Premium c10888,5613IM0D10888,KG,14.5,2022,1,1,5
2022-01-01,2022,1,R10,PREMIUM,Imp Astra 100% Acril,Astra 100% Acrilico Premium c01036,5613IM0D11036,KG,16.5,2022,1,1,5
2022-01-01,2022,1,R10,PREMIUM,Imp Astra 100% Acril,Astra 100% Acrilico Premium c00999,5613IM0D10999,KG,11.5,2022,1,1,5
2022-01-01,2022,1,R10,PREMIUM,Imp Astra 100% Acril,Astra 100% Acrilico Premium c10647,5613IM0D10647,KG,11.5,2022,1,1,5
2022-01-01,2022,1,R10,PREMIUM,Imp Astra 100% Acril,Astra 100% Acrilico Premium c01291,5613IM0D11291,KG,13.5,2022,1,1,5
2022-01-01,2022,1,R10,PREMIUM,Imp Astra 100% Acril,Astra 100% Acrilico Premium c02244,5613IM0D12244,KG,13.5,2022,1,1,5
2022-01-01,2022,1,R10,PREMIUM,Imp Astra 100% Acril,Astra 100% Acrilico Premium c00275,5613IM0D10275,KG,18.5,2022,1,1,5
2022-01-01,2022,1,R10,PREMIUM,Imp Astra 100% Acril,Astra 100% Acrilico Premium c11255,5613IM0D11255,KG,11.5,2022,1,1,5
