Date,Año,Mes,RUPR,Super Familia,Familia,Descripción Producto,Product_Code,unidad,Sales,Year,Month,Quarter,DayOfWeek
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,SACAPELUSA1U ,Sin Unidad,10.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,ACEIMAQ100ML ,Sin Unidad,24.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,SES25R9002   ,Sin Unidad,182.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PATCH-B4     ,Sin Unidad,2.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PATCH-B5     ,Sin Unidad,3.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,SES25R9001   ,Sin Unidad,217.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,5609IMD186837,Sin Unidad,29.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,5609IMD186833,Sin Unidad,28.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,5609IMD186831,Sin Unidad,29.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,5609IMD186829,Sin Unidad,29.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PLUMA100B002 ,Sin Unidad,1.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PLUMA100B001 ,Sin Unidad,12.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,5609IMD186838,Sin Unidad,29.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,5611IME110221,Sin Unidad,1.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,5609IMD187096,Sin Unidad,16.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,5609IMD187095,Sin Unidad,16.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,5609IMD186841,Sin Unidad,29.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,5609IMD186839,Sin Unidad,29.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PATCH-B3     ,Sin Unidad,1.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,1900AN10U0001,Sin Unidad,3.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,MOSTAB507020 ,Sin Unidad,1.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PATCH-033    ,Sin Unidad,2.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,MOSTAB507016 ,Sin Unidad,1.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,MOSTAB507007 ,Sin Unidad,2.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,SES25R9016   ,Sin Unidad,70.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PATCH-029    ,Sin Unidad,2.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,MOSTAB507026 ,Sin Unidad,2.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PATCH-031    ,Sin Unidad,10.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,MOSTAB507021 ,Sin Unidad,6.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PATCH-032    ,Sin Unidad,1.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PATCH-115    ,Sin Unidad,4.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,MOSTAB507001 ,Sin Unidad,17.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PATCH-121    ,Sin Unidad,2.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,SES25R9013   ,Sin Unidad,59.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PATCH-123    ,Sin Unidad,4.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,MOSTAB507002 ,Sin Unidad,15.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PATCH-071    ,Sin Unidad,5.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,MOSTAB507004 ,Sin Unidad,6.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,SES25R9014   ,Sin Unidad,72.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PATCH-088    ,Sin Unidad,3.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,MOSTAB507003 ,Sin Unidad,6.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PATCH-110    ,Sin Unidad,5.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PATCH-127    ,Sin Unidad,5.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,MOSTAB507030 ,Sin Unidad,6.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PASAMORO20MM ,Sin Unidad,20.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PASAMORO12MM ,Sin Unidad,10.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,SES25R9022   ,Sin Unidad,119.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PATCH-014    ,Sin Unidad,1.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,CINTRIR50007 ,Sin Unidad,2.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PASAMORO10MM ,Sin Unidad,21.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PATCH-005    ,Sin Unidad,3.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,SES25R9026   ,Sin Unidad,139.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PASAMOROAR08 ,Sin Unidad,27.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,SES25R9023   ,Sin Unidad,40.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PATCH-003    ,Sin Unidad,5.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,SES25R9024   ,Sin Unidad,92.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,SES25R9030   ,Sin Unidad,66.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PATCH-004    ,Sin Unidad,6.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PATCH-017    ,Sin Unidad,1.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PATCH-024    ,Sin Unidad,3.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PASAMORO05MM ,Sin Unidad,19.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,SES25R9019   ,Sin Unidad,84.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PATCH-028    ,Sin Unidad,3.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,CINTRIR50015 ,Sin Unidad,1.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PASAMORO08MM ,Sin Unidad,14.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,CINTRIR50040 ,Sin Unidad,2.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,SES25R9021   ,Sin Unidad,140.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PATCH-022    ,Sin Unidad,3.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PASAMORO06MM ,Sin Unidad,15.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PATCH-023    ,Sin Unidad,6.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,SES25R9020   ,Sin Unidad,58.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PLUMA100B003 ,Sin Unidad,3.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,SES25R9006   ,Sin Unidad,70.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PATCH-166    ,Sin Unidad,1.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PATCH-3D     ,Sin Unidad,4.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PATCH-165    ,Sin Unidad,1.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PATCH-164    ,Sin Unidad,3.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PATCH-B1-1   ,Sin Unidad,5.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PATCH-B2     ,Sin Unidad,4.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,SES25R9003   ,Sin Unidad,211.0,2022,1,1,5
2022-01-01,2022,1,Sin RUPR,Sin Super Familia,Sin Familia,Sin Descripción,PATCH-A2     ,Sin Unidad,2.0,2022,1,1,5
